qd1,qd2,phrase1,phrase2,label
69,70,it is too cold out there,versh said,faulkner
71,72,you dont want to go outdoors,what is it now,faulkner
73,74,mother said,he want to go out doors,faulkner
75,76,versh said,let him go,faulkner
77,78,uncle maury said,it is too cold,faulkner
79,80,mother said,he had better stay in,faulkner
81,82,benjamin,stop that now,faulkner
83,84,it wont hurt him,uncle maury said,faulkner
85,86,you benjamin,mother said,faulkner
87,88,if vou dont be good you will have to go to the kitchen,mammy say keep him out the kitchen today,faulkner
89,90,versh said,she say she got all that cooking to get done,faulkner
91,92,let him go caroline,uncle maury said,faulkner
93,94,you will worry yourself sick over him,i know it,faulkner
95,96,mother said,it is a judgment on me,faulkner
97,98,i sometimes wonder,i know i know,faulkner
99,100,uncle maury said,you must keep your strength up,faulkner
101,102,i will make you a toddy,it just upsets me that much more,faulkner
103,104,mother said,dont you know it does,faulkner
105,106,you will feel better,uncle maury said,faulkner
107,108,wrap him up good boy and take him out for a while,uncle maury went away,faulkner
109,110,versh went away,please hush,faulkner
111,112,mother said,we are trying to get you out as fast as we can,faulkner
113,114,i dont want you to get sick,versh put my overshoes and overcoat on and we took my cap and went out,faulkner
115,116,uncle maury was putting the bottle away in the sideboard in the diningroom,keep him out about half an hour boy,faulkner
117,118,uncle maury said,keep him in the yard now,faulkner
119,120,yes sir,versh said,faulkner
121,122,we dont never let him get off the place,we went out doors,faulkner
123,124,the sun was cold and bright,where you heading for,faulkner
125,126,versh said,you dont think you going to town does you,faulkner
127,128,we went through the rattling leaves,the gate was cold,faulkner
129,130,you better keep them hands in your pockets,versh said,faulkner
131,132,you get them froze onto that gate then what you do,why not you wait for them in the house,faulkner
133,134,he put my hands into my pockets,i could hear him rattling in the leaves,faulkner
135,136,i could smell the cold,the gate was cold,faulkner
137,138,here some hickeynuts,whooey,faulkner
139,140,git up that tree,look here at this squirl benjy,faulkner
141,142,i could not feel the gate at all but i could smell the bright cold,you better put them hands back in your pockets,faulkner
143,144,caddy was walking,then she was running her booksatchel swinging and jouncing behind her,faulkner
145,146,hello benjy,caddy said,faulkner
147,148,she opened the gate and came in and stooped down,caddy smelled like leaves,faulkner
149,150,did you come to meet me,she said,faulkner
151,152,did you come to meet caddy,what did you let him get his hands so cold for versh,faulkner
153,154,i told him to keep them in his pockets,versh said,faulkner
155,156,holding on to that ahun gate,did you come to meet caddy,faulkner
157,158,she said rubbing my hands,what is it,faulkner
159,160,what are you trying to tell caddy,caddy smelled like trees and like when she says we were asleep,faulkner
161,162,what are you moaning about luster said,you can watch them again when we get to the branch,faulkner
163,164,here,here is you a jimson weed,faulkner
165,166,he gave me the flower,we went through the fence into the lot,faulkner
167,168,what is it,caddy said what are you trying to tell caddy,faulkner
169,170,did they send him out versh,could not keep him in,faulkner
171,172,versh said,he kept on until they let him go and he come right straight down here looking through the gate,faulkner
173,174,what is it,caddy said,faulkner
175,176,did you think it would be christmas when i came home from school,is that what you thought,faulkner
177,178,christmas is the day after tomorrow,santy claus benjy,faulkner
179,180,santy claus,come on let is run to the house and get warm,faulkner
181,182,she took my hand and we ran through the bright rustling leaves,we ran up the steps and out of the bright cold into the dark cold,faulkner
183,184,uncle maury was putting the bottle back in the sideboard,he called caddy,faulkner
185,186,caddy said take him in to the fire versh,go with versh,faulkner
187,188,she said,i will come in a minute,faulkner
189,190,we went to the fire,mother said is he cold versh,faulkner
191,192,nome,versh said,faulkner
193,194,take his overcoat and overshoes off,mother said,faulkner
195,196,how many times do i have to tell you not to bring him into the house with his overshoes on,yessum,faulkner
197,198,versh said,hold still now,faulkner
199,200,he took my overshoes off and unbuttoned my coat,caddy said wait versh,faulkner
201,202,cant he go out again mother,i want him to go with me,faulkner
203,204,you had better leave him here,uncle maury said,faulkner
205,206,he is been out enough today,i think you had both better stay in,faulkner
207,208,mother said,it is getting colder dilsey says,faulkner
209,210,oh mother,caddy said,faulkner
211,212,nonsense,uncle maury said,faulkner
213,214,she is been in school all day,she needs the fresh air,faulkner
215,216,run along candace,let him go mother,faulkner
217,218,caddy said,please,faulkner
219,220,you know he will cry,then why did you mention it before him,faulkner
221,222,mother said,why did you come in here,faulkner
223,224,to give him some excuse to worry me again,you have been out enough today,faulkner
225,226,i think you had better sit down here and play with him,let them go caroline,faulkner
227,228,uncle maury said,a little cold wont hurt them,faulkner
229,230,remember you have got to keep your strength up,i know,faulkner
231,232,mother said,nobody knows how i dread christmas,faulkner
233,234,nobody knows,i am not one of those women who can stand things,faulkner
235,236,i wish for jason is and the children is sakes i was stronger,you must do the best you can and not let them worry you,faulkner
237,238,uncle maury said,run along,faulkner
239,240,you two,but dont stay out long now,faulkner
241,242,your mother will worry,yes sir,faulkner
243,244,caddy said,come on benjy,faulkner
245,246,we are going out doors again,she buttoned my coat and we went toward the door,faulkner
247,248,are you going to take that baby out without his overshoes,mother said,faulkner
249,250,do you want to make him sick with the house full of company,i forgot,faulkner
251,252,caddy said,i thought he had them on,faulkner
253,254,we went back,you must think,faulkner
255,256,mother said,hold still now versh said,faulkner
257,258,he put my overshoes on,someday i will be gone and you will have to think for him,faulkner
259,260,now stomp versh said,come here and kiss mother benjamin,faulkner
261,262,caddy took me to mother is chair and mother took my face in her hands and then she held me against her,my poor baby,faulkner
263,264,she said,she let me go,faulkner
265,266,you and versh take good care of him honey,yessum,faulkner
267,268,caddy said,we went out,faulkner
269,270,caddy said you need not go versh,i will keep him for a while,faulkner
271,272,all right,versh said,faulkner
273,274,i aint going out in that cold for no fun,he went on and we stopped in the hall and caddy knelt and put her arms around me and her cold bright face against mine,faulkner
275,276,she smelled like trees,you are not a poor baby,faulkner
277,278,are you,are you,faulkner
279,280,you have got your caddy,have not you got your caddy,faulkner
281,282,cant you shut up that moaning and slobbering luster said,aint you shamed of yourself making all this racket,faulkner
283,284,we passed the carriage house where the carriage was,it had a new wheel,faulkner
285,286,git in now and set still until your maw come,dilsey said,faulkner
287,288,she shoved me into the carriage,t,faulkner
289,290,p,held the reins,faulkner
291,292,clare i dont see how come jason wont get a new surrey,dilsey said,faulkner
293,294,this thing going to fall to pieces under you all some day,look at them wheels,faulkner
295,296,mother came out pulling her veil down,she had some flowers,faulkner
297,298,where is roskus,she said,faulkner
299,300,roskus cant lift his arms today,dilsey said,faulkner
301,302,t,p,faulkner
303,304,can drive all right,i am afraid to,faulkner
305,306,mother said,it seems to me you all could furnish me with a driver for the carriage once a week,faulkner
307,308,it is little enough i ask lord knows,you know just as well as me that roskus got the rheumatism too bad to do more than he have to miss cahline,faulkner
309,310,dilsey said,you come on and get in now,faulkner
311,312,t,p,faulkner
313,314,can drive you just as good as roskus,i am afraid to,faulkner
315,316,mother said,with the baby,faulkner
317,318,dilsey went up the steps,you calling that thing a baby,faulkner
319,320,she said,she took mother is arm,faulkner
321,322,a man big as t,p,faulkner
323,324,come on now if you going,i am afraid to,faulkner
325,326,mother said,they came down the steps and dilsey helped mother in,faulkner
327,328,perhaps it will be the best thing for all of us,mother said,faulkner
329,330,aint you shamed talking that way,dilsey said,faulkner
331,332,dont you know it will take more than a eighteen year old nigger to make queenie run away,she older than him and benjy put together,faulkner
333,334,and dont you start no projecking with queenie you hear me,t,faulkner
335,336,p,if you dont drive to suit miss cahline i going to put roskus on you,faulkner
337,338,he aint too tied up to do that,yessum,faulkner
339,340,t,p,faulkner
341,342,said,i just know something will happen,faulkner
343,344,mother said,stop benjamin,faulkner
345,346,give him a flower to hold,dilsey said,faulkner
347,348,that what he wanting,she reached her hand in,faulkner
349,350,no no,mother said,faulkner
351,352,you will have them all scattered,you hold them,faulkner
353,354,dilsey said,i will get him one out,faulkner
355,356,she gave me a flower and her hand went away,go on now fore quentin see you and have to go too,faulkner
357,358,dilsey said,where is she,faulkner
359,360,mother said,she down to the house playing with luster,faulkner
361,362,dilsey said,go on t,faulkner
363,364,p,drive that surrey like roskus told you now,faulkner
365,366,yessum,t,faulkner
367,368,p,said,faulkner
369,370,hum up queenie,quentin,faulkner
371,372,mother said,dont let  course i is,faulkner
373,374,dilsey said,the carriage jolted and crunched on the drive,faulkner
375,376,i am afraid to go and leave quentin,mother said,faulkner
377,378,i had better not go,t,faulkner
379,380,p,we went through the gate where it did not jolt anymore,faulkner
381,382,t,p,faulkner
383,384,hit queenie with the whip,you t,faulkner
385,386,p,mother said,faulkner
387,388,got to get her going,t,faulkner
389,390,p,said,faulkner
391,392,keep her wake up till we get back to the barn,turn around,faulkner
393,394,mother said,i am afraid to go and leave quentin,faulkner
395,396,cant turn here,t,faulkner
397,398,p,said,faulkner
399,400,then it was broader,cant you turn here,faulkner
401,402,mother said,all right,faulkner
403,404,t,p,faulkner
405,406,said,we began to turn,faulkner
407,408,you t,p,faulkner
409,410,mother said clutching me,i got to turn around some how,faulkner
411,412,t,p,faulkner
413,414,said,whoa queenie,faulkner
415,416,we stopped,you will turn us over,faulkner
417,418,mother said,what you want to do then,faulkner
419,420,t,p,faulkner
421,422,said,i am afraid for you to try to turn around,faulkner
423,424,mother said,get up queenie,faulkner
425,426,t,p,faulkner
427,428,said,we went on,faulkner
429,430,i just know dilsey will let something happen to quentin while i am gone,mother said,faulkner
431,432,we must hurry back,hum up there,faulkner
433,434,t,p,faulkner
435,436,said,he hit queenie with the whip,faulkner
437,438,you t,p,faulkner
439,440,mother said clutching me,i could hear qucenie is feet and the bright shapes went smooth and steady on both sides the shadows of them flowing across queenie is back,faulkner
441,442,they went on like the bright tops of wheels,then those on one side stopped at the tall white post where the soldier was,faulkner
443,444,but on the other side they went on smooth and steady but a little slower,what do you want,faulkner
445,446,jason said,he had his hands in his pockets and a pencil behind his ear,faulkner
447,448,we are going to the cemetery,mother said,faulkner
449,450,all right,jason said,faulkner
451,452,i dont aim to stop you do i,was that all you wanted with me just to tell me that,faulkner
453,454,i know you wont come,mother said,faulkner
455,456,i had feel safer if you would,safe from what,faulkner
457,458,jason said,father and quentin cant hurt you,faulkner
459,460,mother put her handkerchief under her veil,stop it mother,faulkner
461,462,jason said,do you want to get that damn looney to bawling in the middle of the square,faulkner
463,464,drive on t,p,faulkner
465,466,hum up queenie,t,faulkner
467,468,p,said,faulkner
469,470,it is a judgment on me,mother said,faulkner
471,472,but i will be gone too soon,here,faulkner
473,474,jason said,whoa,faulkner
475,476,t,p,faulkner
477,478,said,jason said uncle maury is drawing on you for fifty,faulkner
479,480,what do you want to do about it,why ask me,faulkner
481,482,mother said,i dont have any say so,faulkner
483,484,i try not to worry you and dilsey,i will be gone soon and then you  go on t,faulkner
485,486,p,jason said,faulkner
487,488,hum up queenie,t,faulkner
489,490,p,said,faulkner
491,492,the shapes flowed on,the ones on thc other side began again bright and fast and smooth like when caddy says we are going to sleep,faulkner
493,494,cry baby luster said,aint you shamed,faulkner
495,496,we went through the barn,the stalls were all open,faulkner
497,498,you aint got no spotted pony to ride now luster said,the floor was dry and dusty,faulkner
499,500,the roof was falling,the slanting holes were full of spinning yellow,faulkner
501,502,what do you want to go that way for,you want to get your head knocked off with one of them balls,faulkner
503,504,keep your hands in your pockets,caddy said,faulkner
505,506,or they will be froze,you dont want your hands froze on christmas do you,faulkner
507,508,we went around the barn,the big cow and the little one were standing in the door and we could hear prince and queenie and fancy stomping inside the barn,faulkner
509,510,if it was not so cold we had ride fancy,caddy said,faulkner
511,512,but it is too cold to hold on today,then we could seethe branch where the smoke was blowing,faulkner
513,514,that is where they are killing the pig,caddy said,faulkner
515,516,we can come back by there and see them,we went down the hill,faulkner
517,518,you want to carry the letter,caddy said,faulkner
519,520,you can carry it,she took the letter out of her pocket and put it in mine,faulkner
521,522,it is a christmas present,caddy said,faulkner
523,524,uncle maury is going to surprise mrs patterson with it,we got to give it to her without letting anybody see it,faulkner
525,526,keep your hands in your pockets good now,we came to the branch,faulkner
527,528,it is froze,caddy said,faulkner
529,530,look,she broke the top of the water and held a piece of it against my face,faulkner
531,532,ice,that means how cold it is,faulkner
533,534,she helped me across and we went up the hill,we cant even tell mother and father,faulkner
535,536,you know what i think it is,i think it is a surprise for mother and father and mr patterson both because mr patterson sent you some candy,faulkner
537,538,do you remember when mr patterson sent you some candy last summer,there was a fence,faulkner
539,540,the vine was dry and the wind rattled in it,only i dont see why uncle maury did not send versh,faulkner
541,542,caddy said,versh wont tell,faulkner
543,544,mrs patterson was looking out the window,you wait here,faulkner
545,546,caddy said,wait right here now,faulkner
547,548,i will be back in a minute,give me the letter,faulkner
549,550,she took the letter out of my pocket,keep your hands in your pockets,faulkner
551,552,she climbed the fence with the letter in her hand and went through the brown rattling flowers,mrs patterson came to the door and opened it and stood there,faulkner
553,554,mr patterson was chopping in the green flowers,he stopped chopping and looked at me,faulkner
555,556,mrs patterson came across the garden running,when i saw her eyes i began to cry,faulkner
557,558,you idiot mrs patterson said i told him never to send you alone again,give it to me,faulkner
559,560,quick,mr patterson came fast with the hoc,faulkner
561,562,mrs patterson leaned across the fence reaching her hand,she was trying to climb the fence,faulkner
563,564,give it to me she said give it to me,mr patterson climbed the fence,faulkner
565,566,he took the letter,mrs patterson is dress was caught on the fence,faulkner
567,568,i saw her eyes again and i ran down the hill,they aint nothing over yonder but houses,faulkner
569,570,luster said,we going down to the branch,faulkner
571,572,they were washing down at the branch,one of them was singing,faulkner
573,574,i could smell the clothes flapping and the smoke blowing across the branch,you stay down here,faulkner
575,576,luster said,you aint got no business up yonder,faulkner
577,578,them folks hit you sho,what he want to do,faulkner
579,580,he dont know what he want to do,luster said,faulkner
581,582,he think he want to go up yonder where they knocking that hall,you sit down here and play with your jimson weed,faulkner
583,584,look at them chillen playing in the branch if you got to look at something,how come you cant behave yourself like folks,faulkner
585,586,i sat down on the bank where they were washing and the smoke blowing blue,is you all seen anything of a quarter down here,faulkner
587,588,luster said,what quarter,faulkner
589,590,the one i had here this morning,luster said,faulkner
591,592,i lost it somewhere,it fell through this here hole in my pocket,faulkner
593,594,if i dont find it i cant go to the show tonight,where had you get a quarter boy,faulkner
595,596,find it in white folks pocket while they aint looking,got it at the getting place,faulkner
597,598,luster said plenty more where that one come ftom,only i got to find that one,faulkner
599,600,is you all found it yet,i aint studying no quarter,faulkner
601,602,i got my own business to tend to,come on here,faulkner
603,604,luster said,help me look for it,faulkner
605,606,he would not know a quarter if he was to see it would he,he can help look just the same,faulkner
607,608,luster said,you all going to the show tonight,faulkner
609,610,dont talk to me about no show,time i get done over this here tub i be too tired to lift my hand to do nothing,faulkner
611,612,i bet you be there,luster said,faulkner
613,614,i bet you was there last night,i bet you all be right there when that tent open,faulkner
615,616,be enough niggers there without me,was last night,faulkner
617,618,nigger is money good as white folks i reckon,white folks gives nigger money because know first white man comes along with a band going to get it all back so nigger can go to work for some more,faulkner
619,620,aint nobody going make you go to that show,aint yet,faulkner
621,622,aint thought of it i reckon,what you got against white folks,faulkner
623,624,aint got nothing against them,i goes my way and lets white folks go theirs,faulkner
625,626,i aint studying that show,got a man in it can play a tune on a saw,faulkner
627,628,play it like a banjo,you go last night,faulkner
629,630,luster said,i going tonight if i can find where i lost that quarter,faulkner
631,632,you going take him with you i reckon,me,faulkner
633,634,luster said,you reckon i be found anywhere with him time he start bellering,faulkner
635,636,what does you do when he start bellering,i whips him,faulkner
637,638,luster said,he sat down and rolled up his overalls,faulkner
639,640,they played in the branch,you all found any balls yet,faulkner
641,642,luster said,aint you talking biggity,faulkner
643,644,i bet you better not let your grandmammy hear you talking like that,luster got into the branch where they were playing,faulkner
645,646,he hunted in the water along the bank,i had it when we was down here this morning,faulkner
647,648,luster said,where bouts you lose it,faulkner
649,650,right out this here hole in my pocket,luster said,faulkner
651,652,they hunted in the branch,then they all stood up quick and stopped then they splashed and fought in the branch,faulkner
653,654,luster got it and they squatted in the water looking up the hill through the bushes,where is they,faulkner
655,656,luster said,aint in sight yet,faulkner
657,658,luster put it in his pocket,they came down the hill,faulkner
659,660,did a hall come down here,it ought to be in the water,faulkner
661,662,did not any of you boys see it or hear it,aint heard nothing come down here,faulkner
663,664,luster said,heard something hit that tree up yonder,faulkner
665,666,dont know which way it went,they looked in the branch,faulkner
667,668,hell,look along the branch,faulkner
669,670,it came down here,i saw it,faulkner
671,672,they looked along the branch,then they went back up the hill,faulkner
673,674,have you got that ball,the boy said,faulkner
675,676,what i want with it,luster said,faulkner
677,678,i aint seen no ball,the boy got in the water,faulkner
679,680,he went on,he turned and looked at luster again,faulkner
681,682,he went on down the branch,the man said caddie up the hill,faulkner
683,684,the boy got out of the water and went up the hill,now just listen at you,faulkner
685,686,luster said,hush up,faulkner
687,688,what he moaning about now,lawd knows,faulkner
689,690,luster said,he just starts like that,faulkner
691,692,he been at it all morning,cause it his birthday i reckon,faulkner
693,694,how old he,he thirty three,faulkner
695,696,luster said,thirty three this morning,faulkner
697,698,you mean he been three years old thirty years,i going by what mammy say,faulkner
699,700,luster said,i dont know,faulkner
701,702,we going to have thirty three candles on a cake anyway,little cake,faulkner
703,704,wont hardly hold them,hush up,faulkner
705,706,come on back here,he came and caught my arm,faulkner
707,708,you old looney,he said,faulkner
709,710,you want me to whip you,i bet you will,faulkner
711,712,i is done it,hush now,faulkner
713,714,luster said,aint i told you you cant go up there,faulkner
715,716,they will knock your head clean off with one of them balls,come on here,faulkner
717,718,he pulled me back,sit down,faulkner
719,720,i sat down and he took off my shoes and rolled up my trousers,now git in that water and play and see can you stop that slobbering and moaning,faulkner
721,722,i hushed and got in the water,,faulkner
723,724,,,faulkner
725,726,,,faulkner
727,728,and roskus came and said to come to supper and caddy said it is not supper time yet i am not going,she was wet,faulkner
729,730,we were playing in the branch and caddy squatted down and got her dress wet and versh said your mommer going to whip you for getting your dress wet,she is not going to do any such thing,faulkner
731,732,caddy said,how do you know,faulkner
733,734,quentin said,that is all right how i know,faulkner
735,736,caddy said,how do you know,faulkner
737,738,she said she was,quentin said,faulkner
739,740,besides i am older than you,i am seven years old,faulkner
741,742,caddy said,i guess i know,faulkner
743,744,i am older than that,quentin said,faulkner
745,746,i go to school,dont i versh,faulkner
747,748,i am going to school next year,caddy said,faulkner
749,750,when it comes,aint i versh,faulkner
751,752,you know she whip you when you get your dress wet,versh said,faulkner
753,754,it is not wet,caddy said,faulkner
755,756,she stood up in the water and looked at her dress,i will take it off,faulkner
757,758,she said,then it will dry,faulkner
759,760,i bet you wont,quentin said,faulkner
761,762,i bet i will,caddy said,faulkner
763,764,i bet you better not,quentin said,faulkner
765,766,caddy came to versh and me and turned her back,unbutton it versh,faulkner
767,768,she said,dont you do it versh,faulkner
769,770,quentin said,taint none of my dress,faulkner
771,772,versh said,you unbutton it versh,faulkner
773,774,caddy said,or i will tell dilsey what you did yesterday,faulkner
775,776,so versh unbuttoned it,you just take your dress off,faulkner
777,778,quentin said,caddy took her dress off and threw it on the bank,faulkner
779,780,then she did not have on anything but her bodice and drawers and quentin slapped her and she slipped and fell down in the water,when she got up she began to splash water on quentin and quentin splashed water on caddy,faulkner
781,782,some of it splashed on versh and me and versh picked me up and put me on the bank,he said he was going to tell on caddy and quentin and then quentin and caddy began to splash water at versh,faulkner
783,784,he got behind a bush,i am going to tell mammy on you all,faulkner
785,786,versh said,quentin climbed up the bank and tried to catch versh but versh ran away and quentin could not,faulkner
787,788,when quentin came back versh stopped and hollered that he was going to tell,caddy told him that if he would not tell they had let him come back,faulkner
789,790,so versh said he would not and they let him,now i guess you are satisfied,faulkner
791,792,quentin said,we will both get whipped now,faulkner
793,794,i dont care,caddy said,faulkner
795,796,i will run away,yes you will,faulkner
797,798,quentin said,i will run away and never come back,faulkner
799,800,caddy said,i began to cry,faulkner
801,802,caddy turned around and said hush so i hushed,then they played in the branch,faulkner
803,804,jason was playing too,he was by himself further down the branch,faulkner
805,806,versh came around the bush and lifted me down into the water again,caddy was all wet and muddy behind and i started to cry and she came and squatted in the water,faulkner
807,808,hush now,she said,faulkner
809,810,i am not going to run away,so i hushed,faulkner
811,812,caddy smelled like trees in the rain,what is the matter with you luster said,faulkner
813,814,cant you get done with that moaning and play in the branch like folks,why not you take him on home,faulkner
815,816,did not they told you not to take him off the place,he still think they own this pasture luster said,faulkner
817,818,cant nobody see down here from the house noways,we can,faulkner
819,820,and folks dont like to look at a looney,taint no luck in it,faulkner
821,822,roskus came and said to come to supper and caddy said it was not supper time yet,yes tis,faulkner
823,824,roskus said,dilsey say for you all to come on to the house,faulkner
825,826,bring them on versh,he went up the hill where the cow was lowing,faulkner
827,828,maybe we will be dry by the time we get to the house,quentin said,faulkner
829,830,it was all your fault,caddy said,faulkner
831,832,i hope we do get whipped,she put her dress on and versh buttoned it,faulkner
833,834,they wont know you got wet,versh said,faulkner
835,836,it dont show on you,less me and jason tells,faulkner
837,838,are you going to tell jason,caddy said,faulkner
839,840,tell on who,jason said,faulkner
841,842,he wont tell,quentin said,faulkner
843,844,will you jason,i bet he does tell,faulkner
845,846,caddy said,he will tell damuddy,faulkner
847,848,he cant tell her,quentin said,faulkner
849,850,she is sick,if we walk slow it will be too dark for them to see,faulkner
851,852,i dont care whether they see or not,caddy said,faulkner
853,854,i am going to tell myself,you carry him up the hill versh,faulkner
855,856,jason wont tell,quentin said,faulkner
857,858,you remember that bow and arrow i made you jason,it is broke now,faulkner
859,860,jason said,let him tell,faulkner
861,862,caddy said,i dont give a cuss,faulkner
863,864,carry maury up the hill versh,versh squatted and i got on his back,faulkner
865,866,see you all at the show tonight luster said,come on here,faulkner
867,868,we got to find that quarter,if we go slow it will be dark when we get there,faulkner
869,870,quentin said,i am not going slow,faulkner
871,872,caddy said,we went up the hill but quentin did not come,faulkner
873,874,he was down at the branch when we got to where we could smell the pigs,they were grunting and snuffing in the trough in the comer,faulkner
875,876,jason came behind us with his hands in his pockets,roskus was milking the cow in the barn door,faulkner
877,878,the cows came jumping out of the barn,go on,faulkner
879,880,t,p,faulkner
881,882,said,holler again,faulkner
883,884,i going to holler myself,whooey,faulkner
885,886,quentin kicked t,p,faulkner
887,888,again,he kicked t,faulkner
889,890,p,into the trough where the pigs ate and t,faulkner
891,892,p,lay there,faulkner
893,894,hot dog,t,faulkner
895,896,p,said,faulkner
897,898,did not he get me then,you see that white man kick me that time,faulkner
899,900,whooey,i was not crying but i could not stop,faulkner
901,902,i was not crying but the ground was not still and then i was crying,the ground kept sloping up and the cows ran up the hill,faulkner
903,904,t,p,faulkner
905,906,tried to get up,he fell down again and the cows ran down the hill,faulkner
907,908,quentin held my arm and we went toward the barn,then the barn was not there and we had to wait until it came back,faulkner
909,910,i did not see it come back,it came behind us and quentin set me down in the trough where the cows ate,faulkner
911,912,i held on to it,it was going away too and i held to it,faulkner
913,914,the cows ran down the hill again across the door,i could not stop,faulkner
915,916,quentin and t,p,faulkner
917,918,came up the hill fighting,t,faulkner
919,920,p,was falling down the hill and quentin dragged him up the hill,faulkner
921,922,quentin hit t,p,faulkner
923,924,i could not stop,stand up,faulkner
925,926,quentin said,you stay right here,faulkner
927,928,dont you go away until i get back,me and benjy going back to the wedding,faulkner
929,930,t,p,faulkner
931,932,said,whooey,faulkner
933,934,quentin hit t,p,faulkner
935,936,again,then he began to thump t,faulkner
937,938,p,against the wall t,faulkner
939,940,p,was laughing,faulkner
941,942,every time quentin thumped him against the wall he tried to say whooey but he could not say it for laughing,i quit crying but i could not stop,faulkner
943,944,t,p,faulkner
945,946,fell on me and the barn door went away,it went down the hill and t,faulkner
947,948,p,was fighting by himself and he fell down again,faulkner
949,950,he was still laughing and i could not stop and i tried to get up and i fell down and i could not stop,versh said you sho done it now,faulkner
951,952,i will declare if you aint,shut up that yelling,faulkner
953,954,t,p,faulkner
955,956,was still laughing,he flopped on the door and laughed,faulkner
957,958,whooey,he said,faulkner
959,960,me and benjy going back to the wedding,sassprilluh,faulkner
961,962,t,p,faulkner
963,964,said,hush,faulkner
965,966,versh said,where you get it,faulkner
967,968,out the cellar,t,faulkner
969,970,p,said,faulkner
971,972,whooey,hush up,faulkner
973,974,versh said,where bouts in the cellar,faulkner
975,976,anywhere,t,faulkner
977,978,p,said,faulkner
979,980,he laughed some more,moren a hundred boftles lef,faulkner
981,982,moren a million,look out nigger i going to holler,faulkner
983,984,quentin said lift him up,versh lifted me up,faulkner
985,986,drink this benjy,quentin said,faulkner
987,988,the glass was hot,hush now,faulkner
989,990,quentin said,drink it,faulkner
991,992,sassprilluh,t,faulkner
993,994,p,said,faulkner
995,996,lemme drink it mr quentin,you shut your mouth,faulkner
997,998,versh said,mr quentin wear you out,faulkner
999,1000,hold him versh,quentin said,faulkner
1001,1002,they held me,it was hot on my chin and on my shirt,faulkner
1003,1004,drink,quentin said,faulkner
1005,1006,they held my head,it was hot inside me and i began again,faulkner
1007,1008,i was crying now and something was happening inside me and i cried more and they held me until it stopped happening,then i hushed,faulkner
1009,1010,it was still going around and then the shapes began,open the crib versh,faulkner
1011,1012,they were going slow,spread those empty sacks on the floor,faulkner
1013,1014,they were going faster almost fast enough,now,faulkner
1015,1016,pick up his feet,they went on smooth and bright,faulkner
1017,1018,i could hear t,p,faulkner
1019,1020,laughing,i went on with them up the bright hill,faulkner
1021,1022,at the top of the hill versh put me down,come on here quentin,faulkner
1023,1024,he called looking back down the hill,quentin was still standing there by the branch,faulkner
1025,1026,he was chunking into the shadows where the branch was,let the old skizzard stay there,faulkner
1027,1028,caddy said,she took my hand and we went on past the barn and through the gate,faulkner
1029,1030,there was a frog on the brick walk squatting in the middle of it,caddy stepped over it and pulled me on,faulkner
1031,1032,come on maury,she said,faulkner
1033,1034,it still squatted there until jason poked at it with his toe,he will make a wart on you,faulkner
1035,1036,versh said,the frog hopped away,faulkner
