qd1,qd2,phrase1,phrase2,label
193,194,he come toward the door where she is blink hi eye kind of look ahead of hisself befor he see like he is hope to find her set up in a chair mayb or mayb sweep and look into the door in that surpris way like he look in and find her still in bed everi time and dewey dell still afan her with the fan,he stand there like he dont aim to move again nor noth els,faulkner
195,196,well i reckon we better get on cora say,i got to feed the chicken,faulkner
197,198,it s fix to rain too,cloud like that dont lie and the cotton make everi day the lord send,faulkner
199,200,that ll be someth els for him,cash is still trim at the board,faulkner
201,202,if there s ere a thing we can do cora say,ansel let us know i say,faulkner
203,204,ans dont look at us,he look around blink in that surpris way like he had wore hisself down be surpris and wa even surpris at that,faulkner
205,206,i so hope it,her mind is set on it he say,faulkner
207,208,let the lord comfort you,about that corn i say,faulkner
209,210,i tell him again i will help him out if he get into a tight with her sick and all,like most folk around here i done holp him so much alreadi i cant quit now,faulkner
211,212,i aim to get to it today he say,seem like i cant get my mind on noth,faulkner
213,214,mayb she ll hold out till you are laidbi i say,if god will it he say,faulkner
215,216,let him comfort you cora say,if cash just work that care on my barn,faulkner
217,218,he look up when we pass,taint no rush i say,faulkner
219,220,whenev you get around to it,we get into the wagon,faulkner
221,222,cora set the cake box on her lap,it s fix to rain sho,faulkner
223,224,i dont know what he ll do cora say,i just dont know,faulkner
225,226,poor ans i say,she kept him at work for thirtyodd year,faulkner
227,228,i reckon she is tire,and i reckon she ll be behind him for thirti year more kate say,faulkner
229,230,or if it aint her hell get anoth one befor cottonpick,i reckon cash and darl can get marri now eula say,faulkner
231,232,that poor boy cora say,the poor littl tyke,faulkner
233,234,what about jewel,kate say,faulkner
235,236,he can too eula say,hmph kate say,faulkner
237,238,i reckon he will,i reckon so,faulkner
239,240,i reckon there s more gal than one around here that dont want to see jewel tie down,well they need nt to worri,faulkner
241,242,whi kate,cora say,faulkner
243,244,the wagon begin to rattl,the poor littl tyke cora say,faulkner
245,246,it s fix to rain thi night,ye sir,faulkner
247,248,a rattl wagon is mighti dri weather for a birdsel,but that ll be cure,faulkner
249,250,it will for a fact,she ought to taken them cake after she said she would kate say,faulkner
251,252,and it fix to rain too,i can stand here and same as see it with secondsight ashut down behind them like a wall shut down betwixt them and my given promis,faulkner
253,254,i do the best i can much as i can get my mind on anyth but durn them boy,alay there right tip to my door where everi bad luck that come and goe is bound to find it,faulkner
255,256,i told addi it want ani luck live on a road when it come by here and she said for the world like a woman get up and move then,but i told her it want no luck in it becaus the lord put road for travel whi he laid them down flat on the earth,faulkner
257,258,and so he never aim for folk to live on a road becaus which get there first i say the road or the hous,did you ever know him to set a road down by a hous,faulkner
259,260,i say,no you never i say becaus it s alway men cant rest till they get the hous set where everybodi that pass in a wagon can spit in the doorway keep the folk restless and want to get up and go somewher els when he aim for them to stay put like a tree or a stand of corn,faulkner
261,262,becaus if he d a aim for man to be alway amov and go somewher els would nt he a put him longway on hi belli like a snake,it stand to reason he would,faulkner
263,264,put it where everi bad luck prowl can find it and come straight to my door charg me tax on top of it,make me pay for cash have to get them carpent notion when if it had nt been no road come there he would nt a got them fall off of church and lift no hand in six month and me and addi slave and aslav when there s plenti of saw on thi place he could do if he s got to saw,faulkner
265,266,and darl too,talk me out of him durn them it aint that i am afraid of work i alway is fed me and mine and kept a roof abov us it s that they would shorthand me just becaus he tend to hi own busi just becaus he s got hi eye full of the land all the time,faulkner
267,268,i say to them he wa all right at first with hi eye full of the land becaus the land laid upanddown way then it wa nt till that ere road come and switch the land around longway and hi eye still full of the land that they begun to threaten me out of him tri to shorthand me with the law,make me pay for it,faulkner
269,270,she wa well and hale as ere a woman ever were except for that road,just lay down rest herself in her own bed ask naught of none,faulkner
271,272,are you sick addi,i said,faulkner
273,274,i am not sick she said,you lay you down and rest you i said,faulkner
275,276,i know you are not sick,you re just tire,faulkner
277,278,you lay you down and rest,i am not sick she said,faulkner
279,280,i will get up,lay still and rest i said,faulkner
281,282,you are just tire,you can get up tomorrow,faulkner
283,284,and she wa lay there well and hale as ere a woman ever were except for that road,i never sent for you i said,faulkner
285,286,i take you to wit i never sent for you,i know you did nt peabodi said,faulkner
287,288,i bound that,where is she,faulkner
289,290,she s alay down i said,go set on the porch a while,faulkner
291,292,and now i got to pay for it me without a tooth in my head hope to get ahead enough so i could get my mouth fix where i could eat god s own victual as a man should and her hale and well as ere a woman in the land until that day,got to pay for be put to the need of that three dollar,faulkner
293,294,got to pay for the way for them boy to have to go away to earn it,and now i can see same as second sight the rain shut down betwixt us acom up that road like a durn man like it want ere a other hous to rain on in all the live land,faulkner
295,296,i nave heard men cuss their luck and right for they were sin men,but i do not say it s a curs on me becaus i have done no wrong to be cuss by,faulkner
297,298,i am not religi i reckon,but peac is my heart i know it is,faulkner
299,300,i have done thing but neither better nor wors than them that pretend otherlik and i know that old marster will care for me as for ere a sparrow that fall,but it seem hard that a man in hi need could be so flout by a road,faulkner
301,302,vardaman come around the hous bloodi as a hog to hi knee and that ere fish chop up with the axe like as not or mayb throw away for him to lie about the dog et it,well i reckon i aint no call to expect no more of him than of hi mangrow brother,faulkner
303,304,whew he say i m pure tire,go wash them hand i say,faulkner
305,306,it wa full of blood and gut as a hog he say,go wash them hand i say,faulkner
307,308,but i just cant seem to get no heart into it,he ha not onc look back,faulkner
309,310,jewel i say,back run tunnel between the two set of bob mule ear the road vanish beneath the wagon as though it were a ribbon and the front axl were a spool,faulkner
311,312,do you know she is go to die jewel,it take two peopl to make you and one peopl to die,faulkner
313,314,that s how the world is go to end,i said to dewey dell you want her to die so you can get to town is that it,faulkner
315,316,she would nt say what we both knew,the reason you will not say it is when you say it even to yourself you will know it is true is that it,faulkner
317,318,but you know it is true now,i can almost tell you the day when you knew it is true,faulkner
319,320,whi wont you say it even to yourself,she will not say it,faulkner
321,322,she just keep on say are you go to tell pa,are you go to kill him,faulkner
323,324,you can not believ it is true becaus you can not believ that dewey dell dewey dell bundren could have such bad luck is that it,the sun an hour abov the horizon is pois like a bloodi egg upon a crest of thunderhead the light ha turn copper in the eye portent in the nose sulphur smell of lightn,faulkner
325,326,when peabodi come they will have to use the rope,he ha pusselgut himself eat cold green,faulkner
327,328,with the rope they will haul him up the path balloonlik up the sulphur air,jewel i say do you know that addi bundren is go to die,faulkner
329,330,addi bundren is go to die,and i said a damn good thing and at first i would not go becaus there might be someth i could do and i would have to haul her back by god,faulkner
331,332,i thought mayb they have the same sort of fool ethic in heaven they have in the medic colleg and that it wa mayb vernon lull send for me again get me there in the nick of time as vernom alway doe thing get the most for ans s money like he doe for hi own,but when it got far enough into the day for me to read weather sign i knew it could nt have been anybodi but ans that sent,faulkner
333,334,i knew that nobodi but a luckless man could ever need a doctor in the face of a cyclon,and i knew that if it had final occur to ans himself that he need one it wa alreadi too late,faulkner
335,336,when i reach the spring and get down and hitch the team the sun ha gone down behind a bank of black cloud like a topheavi mountain rang like a load of cinder dump over there and there is no wind,i could hear cash saw for a mile befor i got there,faulkner
337,338,ans is stand at the top of the bluff abov the path,where s the hors,faulkner
339,340,i say,jewel s taken and gone he say,faulkner
341,342,cant nobodi els ketch hit,you ll have to walk up i reckon,faulkner
343,344,me walk up weigh two hundr and twentyf pound,i say,faulkner
345,346,walk up that durn wall,he stand there besid a tree,faulkner
347,348,too bad the lord made the mistak of give tree root and give the ans bundren he make feet and leg,if he d just swap them there would nt ever be a worri about thi countri be deforest someday,faulkner
349,350,or ani other countri,what do you aim for me to do,faulkner
351,352,i say,stay here and get blow clean out of the counti when that cloud break,faulkner
353,354,even with the hors it would take me fifteen minut to ride up across the pastur to the top of the ridg and reach the hous,the path look like a crook limb blown against the bluff,faulkner
355,356,ans ha not been in town in twelv year,and how hi mother ever got up there to bear him he be hi mother s son,faulkner
357,358,vardaman s gittin the rope he say,after a while vardaman appear with the plowlin,faulkner
359,360,he give the end of it to ans and come down the path uncoil it,you hold it tight i say,faulkner
361,362,i done alreadi wrote thi visit onto my book so i m go to charg you just the same whether i get there or not,i got hit ans say,faulkner
363,364,you kin come on up,i ll be damn if i can see whi i dont quit,faulkner
365,366,a man seventi year old weigh two hundr and odd pound be haul up and down a damn mountain on a rope,i reckon it s becaus i must reach the fifti thousand dollar mark of dead account on my book befor i can quit,faulkner
367,368,what the hell doe your wife mean i say take sick on top of a durn mountain,i m right sorri he say,faulkner
369,370,he let the rope go just drop it and he ha turn toward the hous,there is a littl daylight up here still of the color of sulphur match,faulkner
371,372,the board look like strip of sulphur,cash doe not look back,faulkner
373,374,vernon tull say he bring each board up to the window for her to see it and say it is all right,the boy overtak us,faulkner
375,376,ans look back at him,where s the rope,faulkner
377,378,he say,it s where you left it i say,faulkner
379,380,but never you mind that rope,i got to get back down that bluff,faulkner
381,382,i dont aim for that storm to catch me up here,td blow too durn far onc i got start,faulkner
383,384,the girl is stand by the bed fan her,when we enter she turn her head and look at us,faulkner
385,386,she ha been dead these ten day,i suppos it s have been a part of ans for so long that she can not even make that chang if chang it be,faulkner
387,388,i can rememb how when i wa young i believ death to be a phenomenon of the bodi now i know it to be mere a function of the mind and that of the mind of the one who suffer the bereav,the nihilist say it is the end the fundamentalist the begin when in realiti it is no more than a singl tenant or famili move out of a tenement or a town,faulkner
389,390,she look at us,onli her eye seem to move,faulkner
391,392,it s like they touch us not with sight or sens but like the stream from a hose touch you the stream at the instant of impact as dissoci from the nozzl as though it had never been there,she doe not look at ans at all,faulkner
393,394,she look at me then at the boy,the girl doe not stop the fan,faulkner
395,396,how are you sister,i say,faulkner
397,398,her head lie gaunt on the pillow look at the boy,you pick out a fine time to get me out here and bring up a storm,faulkner
399,400,then i send ans and the boy out,she watch the boy as he leav the room,faulkner
401,402,she ha not move save her eye,he and ans are on the porch when i come out the boy sit on the step ans stand by a post not even lean against it hi arm dangl the hair push and mat up on hi head like a dip rooster,faulkner
403,404,he turn hi head bunk at me,whi did nt you send for me sooner,faulkner
405,406,i say,hit wa jest one thing and then anoth he say,faulkner
407,408,that ere corn me and the boy wa aimin to git up with and dewey dell atakin good keer of her and folk comin in aofferin to help and sich till i jest thought,damn the money i say,faulkner
409,410,did you ever hear of me worri a fellow befor he wa readi to pay,hit aint begrudgin the money he say,faulkner
411,412,i jest kept athinkin,she s goin is she,faulkner
413,414,the durn littl tyke is sit on the top step look smaller than ever in the sulphurcolor light,that s the one troubl with thi countri everyth weather all hang on too long,faulkner
415,416,like our river our land opaqu slow violent shape and creat the me of man in it implac and brood imag,i know hit ans say,faulkner
417,418,all the while i made sho,her mind is sot on hit,faulkner
419,420,and a damn good thing too i say,with a trifl he sit on the top step small motionless in fade overal,faulkner
421,422,when i came out he look up at me then at ans,but now he ha stop look at us,faulkner
423,424,he just sit there,have you told her yit,faulkner
425,426,ans say,what for,faulkner
427,428,i say,what the devil for,faulkner
429,430,shell know hit,i know that when she see you she would know hit same as write,faulkner
431,432,you would nt need to tell her,i look at her at her face,faulkner
433,434,you better go quick i say,when we enter the room she is watch the door,faulkner
435,436,she look at me,her eye look like lamp blare up just befor the oil is gone,faulkner
437,438,she want you to go out the girl say,now addi ans say when he come all the way from jefferson to git you well,faulkner
439,440,she watch me i can feel her eye,it s like she wa shove at me with them,faulkner
441,442,i have seen it befor in women,seen them drive from the room them come with sympathi and piti with actual help and cling to some trifl anim to whom they never were more than packhors,faulkner
443,444,that s what they mean by the love that passeth understand that pride that furiou desir to hide that abject naked which we bring here with us carri with us into oper room carri stubbornli and furious with us into the earth again,i leav the room,faulkner
445,446,beyond the porch cash s saw snore steadili into the board,a minut later she call hi name her voic harsh and strong,faulkner
447,448,from behind hi leg vardaman peer with hi round head and hi eye round and hi mouth begin to open,she look at pa all her fail life appear to drain into her eye urgent irremedi,faulkner
449,450,it s jewel she want dewey dell say,whi addl pa say him and darl went to make one more load,faulkner
451,452,they thought there wa time,that you would wait for them and that three dollar and all he stoop lay hi hand on her,faulkner
453,454,for a while yet she look at him without reproach without anyth at all as if her eye alon are listen to the irrevoc cessat of hi voic,dewey dell lean down tri to press her back,faulkner
455,456,ma she say ma,she is look out the window at cash stoop steadili at the board in the fail light labor on toward dark and into it as though the stroke of the saw illumin it own motion board and saw engend,faulkner
457,458,you cash she shout her voic harsh strong and unimpair,you cash,faulkner
459,460,he look up at the gaunt face frame by the window in the twilight,it is a composit pictur of all time sinc he wa a child,faulkner
461,462,he drop the saw and lift the board for her to see watch the window in which the face ha not move,he drag a second plank into posit and slant the two of them into their final juxtaposit gestur toward the one yet on the ground shape with hi empti hand in pantomim the finish box,faulkner
463,464,for a while still she look down at him from the composit pictur neither with censur nor approb,then the face disappear,faulkner
465,466,she lie back and turn her head without so much as glanc at pa,she look at vardaman her eye the life in them rush suddenli upon them the two flame glare up for a steadi instant,faulkner
467,468,then they go out as though someon had lean down and blown upon them,ma dewey dell say ma,faulkner
469,470,lean abov the bed her hand lift a littl the fan still move like it ha for ten day she begin to keen,her voic is strong young tremul and clear rapt with it own timbr and volum the fan still move steadili up and down whisper the useless air,faulkner
471,472,he begin to move slowli backward from the bed hi eye round hi pale face fade into the dusk like a piec of paper past on a fail wall and so out of the door,pa lean abov the bed in the twilight hi hump silhouett partak of that owllik qualiti of awryfeath disgruntl outrag within which lurk a wisdom too profound or too inert for even thought,faulkner
473,474,durn them boy he say,jewel i say,faulkner
475,476,overhead the day drive level and gray hide the sun by a flight of gray spear,in the rain the mule smoke a littl splash yellow with mud the off one cling in slide lung to the side of the road abov the ditch,faulkner
477,478,the tilt lumber gleam dull yellow watersoak and heavi as lead tilt at a steep angl into the ditch abov the broken wheel about the shatter spoke and about jewel s ankl a runnel of yellow neither water nor earth swirl curv with the yellow road neither of earth nor water down the hill dissolv into a stream mass of dark green neither of earth nor sky,jewel i say cash come to the door carri the saw,faulkner
479,480,pa stand besid the bed hump hi arm dangl,he turn hi head hi shabbi profil hi chin collaps slowli as he work the snuff against hi gum,faulkner
481,482,she s gone cash say,she taken and left us pa say,faulkner
483,484,cash doe not look at him,how nigh are you done,faulkner
485,486,pa say,cash doe not answer,faulkner
487,488,he enter carri the saw,i reckon you better get at it pa say,faulkner
489,490,you ll have to do the best you can with them boy gone off thataway,cash look down at her face,faulkner
491,492,he is not listen to pa at all,he doe not approach the bed,faulkner
493,494,he stop in the middl of the floor the saw against hi leg hi sweat arm powder lightli with sawdust hi face compos,if you get in a tight mayb some of themll get here tomorrow and help you pa says,faulkner
495,496,vernon could,cash is not listen,faulkner
497,498,he is look down at her peac rigid face fade into the dusk as though dark were a precursor of the ultim earth until at last the face seem to float detach upon it lightli as the reflect of a dead leaf,there is christian enough to help you pa say,faulkner
499,500,cash is not listen,after a while he turn without look at pa and leav the room,faulkner
501,502,then the saw begin to snore again,they will help us in our sorrow pa say,faulkner
503,504,the sound of the saw is steadi compet unhurri stir the die light so that at each stroke her face seem to wake a littl into an express of listen and of wait as though she were count the stroke,pa look down at the face at the black sprawl of dewey dell s hair the outflung arm the clutch fan now motionless on the fade quilt,faulkner
505,506,i reckon you better get supper on he say,dewey dell doe not move,faulkner
507,508,git up now and put supper on pa say,we got to keep our strength up,faulkner
509,510,i reckon doctor peabodi s right hungri come all thi way,and need to eat quick and get back to work so he can finish it in time,faulkner
511,512,dewey dell rise heav to her feet,she look down at the face,faulkner
513,514,it is like a cast of fade bronz upon the pillow the hand alon still with ani semblanc of life a curl gnarl inept a spent yet alert qualiti from which weari exhaust travail ha not yet depart as though they doubt even yet the actual of rest guard with horn and penuri alert the cessat which they know can not last,dewey dell stoop and slide the quilt from beneath them and draw it up over them to the chin smooth it down draw it smooth,faulkner
515,516,then without look at pa she goe around the bed and leav the room,she will go out where peabodi is where she can stand in the twilight and look at hi back with such an express that feel her eye and turn he will say i would not let it griev me now,faulkner
517,518,she wa old and sick too,suffer more than we knew,faulkner
519,520,she could nt have got well,vardaman s get big now and with you to take good care of them all,faulkner
521,522,i would tri not to let it griev me,i expect you d better go and get some supper readi,faulkner
523,524,it dont have to be much,but they ll need to eat and she look at him say you could do so much for me if you just would,faulkner
525,526,if you just knew,he rais hi hand to hi head scour hi hair listen to the saw,faulkner
527,528,he come nearer and rub hi hand palm and back on hi thigh and lay it on her face and then on the hump of quilt where her hand are,he touch the quilt as he saw dewey dell do tri to smooth it up to the chin but disarrang it instead,faulkner
529,530,he tri to smooth it again clumsili hi hand awkward as a claw smooth at the wrinkl which he made and which continu to emerg beneath hi hand with pervers ubiqu so that at last he desist hi hand fall to hi side and stroke itself again palm and back on hi thigh,the sound of the saw snore steadili into the room,faulkner
531,532,pa breath with a quiet rasp sound mouth the snuff against hi gum,god s will be done he say,faulkner
533,534,now i can get them teeth,jewel s hat droop limp about hi neck channel water onto the soak towsack tie about hi shoulder as ankledeep in the run ditch he pri with a slip twobyfour with a piec of rot log for fulcrum at the axl,faulkner
535,536,jewel i say she is dead jewel,i run toward the back and come to the edg of the porch and stop,faulkner
537,538,then i begin to cri,i can feel where the fish wa in the dust,faulkner
539,540,it is cut up into piec of notfish now notblood on my hand and overal,then it wa nt so,faulkner
541,542,it had nt happen then,and now she is get so far ahead i can not catch her,faulkner
543,544,the tree look like chicken when they ruffl out into the cool dust on the hot day,if i jump off the porch i will be where the fish wa and it all cut up into notfish now,faulkner
545,546,i can hear the bed and her face and them and i can feel the floor shake when he walk on it that came and did it,that came and did it when she wa all right but he came and did it,faulkner
547,548,the fat son of a bitch,i jump from the porch run,faulkner
549,550,the top of the barn come swoop up out of the twilight,if i jump i can go through it like the pink ladi in the circu into the warm smell without have to wait my hand grab at the bush beneath my feet the rock and dirt go rubbl down,faulkner
551,552,then i can breath again in the warm smell,i enter the stall tri to touch him and then i can cri then i vomit the cri,faulkner
553,554,as soon as he get through kick i can and then i can cri the cri can,he kilt her,faulkner
555,556,he kilt her,the me in him run under the skin under my hand run through the splotch smell up into my nose where the sick is begin to cri vomit the cri and then i can breath vomit it,faulkner
557,558,it make a lot of nois,i can smell the life run up from under my hand up my arm and then i cart leav the stall,faulkner
559,560,i can not find it,in the dark along the dust the wall i can not find it,faulkner
561,562,the cri make a lot of nois,i wish it would nt make so much nois,faulkner
563,564,then i find it in the wagon shed in the dust and i run across the lot and into the road the stick jounc on my shoulder,they watch me as i run up begin to jerk back their eye roll snort jerk back on the hitchrein,faulkner
565,566,i strike,i can hear the stick strike i can see it hit their head the breastyok miss altogeth sometim as they rear and plung but i am glad,faulkner
567,568,but it is still long enough,i run thi way and that as they rear and jerk at the hitchrein strike,faulkner
569,570,you kilt her,i strike at them strike they wheel in a long lung the buggi wheel onto two wheel and motionless like it is nail to the ground and the hors motionless like they are nail by the hind feet to the center of a whirl plate,faulkner
