qd1,qd2,phrase1,phrase2,label
57,58,though he wasn t himself equip to account for whi he d run away like that i wonder if it hadn t someth to do with hi realiz that he might have contribut to the heart attack by push my mother that afternoon to walk beyond her endur,she had been suffer for some time from sever short of breath and unknown to me from angina dure the previou winter there had also been a long sieg of arthrit pain that had demor her terribl,roth
59,60,that winter she d had all she could do just to sit up comfort in a chair but on the day she die becaus the may weather wa so beauti and she wa final out of door get some exercis they d walk as far as the drugstor three veri long citi block away and then becaus he insist it would be good for her they d also walk all the way home,accord to aunt my mother had phone befor they went out for the the time they d reach the drugstor she wa alreadi hopelessli exhaust,roth
61,62,i didn t think i could get back she d report to my aunt but instead of call a taxi or wait for a bu they had rest a littl on a nearbi bench and then he d got her up on her feet for the return trek,you know your father my aunt had said to me,roth
63,64,he told her she could do it she had spent the rest of the afternoon on the bed tri to recov enough strength to go out to dinner,as it happen onli an hour or so befor they d left for their walk i d made my customari sunday call from england and told her play that i expect her to go a mile with me down the countri road outsid my hous when she and my father came to visit that summer,roth
65,66,she repli i don t know if it ll be a mile dear but i ll try she wa sound bright and confid for the first time in month and could well have gone off that afternoon hope to begin to prepar herself for our summer stroll,in fact when i arriv back in america the next day and took a taxi from kennedi directli over to elizabeth my father s first word to me were well she won t be take that walk phil he wa in her reclin chair hi bodi decrepit hi face batteredlook and drain of all life,roth
67,68,i thought not incorrectli as it turn out thi is what he will look like when he is dead my brother sandi and hi wife helen had arriv earlier in the day from chicago and were at the apart when i got there,sandi had alreadi been to the funer home to arrang for the burial the next day,roth
69,70,befor he d gone my father had spoken on the phone to the elderli funer director a man with whom my mother had attend elizabeth s battin high around the end of the first world war,my father in tear had told him take care of her bodi take good care of it higgin then for the rest of the day he went on weep there in that chair in which she would stretch out after supper and tri to get some relief from her arthriti while they watch the news togeth,roth
71,72,she order new england clam chowder he told me as i kneel besid him still in my coat and hold hi hand and i order manhattan,when it came she said i don t want thi soup i said take ll switch but she wa gone,roth
73,74,just slump forward,didn t even fall,roth
75,76,made no troubl for anyon,my father wa a more difficult person far less seduct and less malleabl too bluntli resist point of view that diverg onli slightli from hi own reign bias wa in fact one of hi most rigor unthink activ,roth
77,78,still kneel befor him with hi hand in mine i understood just how much we were go to have to help i couldn t understand wa how we were go to get through to him,hi obsess stubborn veri nearli driven my mother to a breakdown in her final year sinc hi retir at the age of sixtythre her onc spirit housewif independ had been all but extinguish by hi anxiou overbear bossi,roth
79,80,for year he had believ he wa marri to perfect and for year he wasn t far mother wa one of those devot daughter of jewish immigr who rais housekeep in america to a great art,don t talk to anyon in my famili about saw clean in it heyday,roth
81,82,but then my father retir from one of the metropolitan life s big south jersey offic where he d been manag a staff of fiftytwo peopl and the effici clearcut divis of labor that had done so much to defin their marriag as a success gradual began to be him,he had noth to do and she had everyth to that wouldn t do,roth
83,84,you know what i am now he told me sadli on hi sixtyfifth birthday,i m bessi s husband and by neither tempera nor train wa he suit to be that alon,roth
85,86,so after a coupl of year of volunt at the va,hospit in east orang with jewish relief group and the red even of work as an underl for a friend who own a hardwar store he settl down to becom bessi s my mother happen not to need a boss have been her own sinc her singlehand establish of a firstclass domesticmanag and mother compani back in when my brother wa born,roth
87,88,just the summer befor her death dure a weekend visit to connecticut when we two were alon have a cup of tea in the kitchen she had announc that she wa think of get a divorc,to hear the word divorc from my mother s lip astonish me almost as much as it would have if she had utter an obscen,roth
89,90,but then the inmost intertwin of mother and father s life togeth the difficulti and disappoint and endur strain remain mysteri realli forev perhap particularli if you grew up as a good boy in a secur wellord simultan as a good girl,peopl don t alway realiz what good girl we grew up as too the littl son suckl and gurgl by mother as adroit as my own in the skill of nurtur domest,roth
91,92,for a veri long and impression time the male who s not around all day remain much more remot and mytholog than the palpabl woman of wizardli profici anchor firmli dure the decad when i wa young in the odor kitchen where her jurisdict wa absolut and her author divin,but ma i said it s late for a divorc no,roth
93,94,you re seventysix but she wa cri quit piti alreadi,that astonish me too,roth
95,96,he doesn t listen to what i say she said,he interrupt all the time to talk about someth els,roth
97,98,when we re out that s the worst,then he won t let me speak at all,roth
99,100,if i start to he just shut me up,in front of everyon,roth
101,102,as though i don t exist tell him not to do it i said,it wouldn t make ani difference then tell him a second time and if it still doesn t work get up and say i m go home and go oh darl i couldn t,roth
103,104,no i couldn t embarrass him like that,not with company but you tell me he embarrass you when you re with company that s differ,roth
105,106,he s not like me,he couldn t take it philip,roth
107,108,he would crumbl up,it would kill him three month after her death in august i came down from connecticut to take him to the jewish feder plaza in west orang where we were to look at the live accommod for retir and elderli peopl,roth
109,110,the plaza had been recommend to us by an old newark friend of my brother s a new jersey attorney on the feder s board of director,he had said he might be abl to help my father get an apart without too long a delay if my father wa interest,roth
111,112,the plaza resid live in twoand threeroom apart of their own but the round of life itself wa strongli commun each even they ate togeth in a dine room where their meal were prepar for them and they had easi access to all the group activ at the flourish y next door,west orang wa still one of newark s pleasant suburb and the plaza as it wa describ to me wa situat back on a green hillsid overlook a main thoroughfar a few minut walk from a shop center and also from the templ b nai abraham which like the y had been transplant from decay newark and serv the elderli as a cultur center as well as a synagogu,roth
113,114,in all the plaza struck me as a place where he would not lack for companionship and i wa hope that after we had look around the idea of move might appeal to him,i wa afraid that if he tri much longer to hang on by himself in the elizabeth apart he might liter die there of loneli,roth
115,116,hi meal when he even sat down and ate them seem to consist mostli of boil hot dog and heinz bake bean and when i phone in the middl of the day i often found him asleep or in tear,it wa clear to me when i arriv at the apart that day that he had been sit there cri by himself,roth
117,118,he could have been cri sinc he d got up for all i knew he could have been cri all night long,he d spent a few week with us in connecticut in june and then again in juli and had seem in that time to have gotten on top of the worst of hi grief but now that he wa back in the apart without my mother he wa hopelessli bereft all over again,roth
119,120,though outsid it wa a beauti august day he wa sit there with the shade down and no light on,i notic that hi cloth while clean didn t quit match as if get out of bed he d pull on whatev came to hand first,roth
121,122,when i ask what he d had for breakfast he answer noth,someth,roth
123,124,just what you alway want,here i produc from the bag a toilet bowl brush and a bottl of lysol that i d bought at the local gener store befor leav connecticut three hour earlier,roth
125,126,i d also brought a bottl of milligram valium,the idea wa to get him off the milligram tablet that i d got for him after her death to help him sleep,roth
127,128,come on i said,if you insist on be your own clean i began but he cut me off abruptli,roth
129,130,what do i need to pay somebodi when i can do it myself,i get up at five and i begin vacuum,roth
131,132,i swore i swore to myself when she die that i wa go to keep thi place the way mother did those word alon got him cri again,in the live room i gave him the new bottl of milligram valium and told him that if he need it he should now take one of these at night and pour the other down the drain,roth
133,134,with thi he didn t argu though he wa someon who previous would balk at the thought of take even an aspirin,i wa not so lucki when i remind him that we were due at the jewish feder plaza at one o clock,roth
135,136,he told me dismiss that he wasn t interest,the hell with it he said,roth
137,138,i m fine right here,you re not be fair,roth
139,140,instead of treat me like a member of your famili do me a favor and pretend you re still the manag of an insur offic,if somebodi came to you at the metropolitan with a propos that he thought might be of help to you you d at least let the guy make hi case,roth
141,142,you d sit back and hear him out and then you d think it over and come up with your decis,you certainli wouldn t say after invit him to talk to you the hell with it and not even listen,roth
143,144,i m propos to you onli that we go up and look at the place as we agre we would a week ago,it is not a nurs home and it is not an old peopl s home or anyth resembl s a new apart complex that peopl are line up to get into and that s design to make life comfort and companion for among other peopl men and women in your fix,roth
145,146,it may be for you and it may not be for you but there s no way for us to find out if you don t cooper,okay he said with great decis and shot energet up off the sofa,roth
147,148,i wasn t sure that i d ever befor been so foolish as to tri,that s more like it i said,roth
149,150,mayb you want to go in first and do someth about your sock,you ve got two differ color on,roth
151,152,and i don t know if that check shirt goe with those plaid trouser,the feder plaza wa new and in excel repair but look more institut than residenti a cross between a small colleg dormitori and a minimumsecur prison,roth
153,154,we were to be meet with a woman name isabel berkowitz a resid who had volunt to show us around,we had her apart number but as the approach to the build wa a maze of walkway i stop two veri elderli women who were talk togeth on the main path lead down to northfield avenu and ask if they could direct us to isabel berkowitz s,roth
155,156,my name is berkowitz also one of them answer,she spoke with a yiddish accent that along with her dress and her manner made her appear to have more in common with my grandpar gener than with my mother and father and their friend,roth
157,158,i wa pretti sure my father wa think the same he wasn t the kind of old person these old peopl were and what s more he didn t belong here,i m the other berkowitz she told us cheerili,roth
159,160,berkowitz from where my father ask her,where els,roth
161,162,in hi apart he had been sullen and angri drive up to west orang he d been silent and grim but he had onli to come on someon who had known someon he had known in newark to becom bliss energet gregari veri much the forc insur man whose year in newark as an agent and assist manag had familiar him with nearli everi jewish famili in the citi,unmind by now not onli of hi woe but even of what we were there for he name for thi other mr,roth
163,164,berkowitz all the shopkeep whose busi abut her husband s central avenu store some forti year back,i stood by till he had finish exhibit to them hi perfect memori and then i ask the old woman onc again if she could tell us how to get to where we want to go,roth
165,166,it turn out that she couldn t,when she tri she becam befuddl all at onc wholli unabl to focu her mind,roth
167,168,my father notic too and onc again without hi even have to tell me i heard him insist that he wasn t thi kind of old person,berkowitz we were look for my quickwit live attract woman who look ten year younger than her seventi year,roth
169,170,her tworoom apart though a bit cubelik wa bright with sunlight and the wall were hung with lot of littl paint she d collect over the year,there wa even one she d paint herself a color stilllif and frame alongsid it were sampl of her embroideri,roth
171,172,she seem delight to see us and immedi offer us someth cold to drink and within onli five minut of meet her when we two were momentarili alon again my father turn to me and said she s some girl though isabel who d begun her career as a brooklyn nurs and eventu becam a public health administr in new york may have been a touch more worldli than my mother her mixtur of outgo vital and goodnatur gentil remind me veri much of what my mother had been like when i wa grow up,the resembl could even have been what prompt my we were wait out in the corridor for isabel to lock up her apart and take us on a tour of the announc spontan as though all hi troubl were over i love her,roth
173,174,she and her late vigor selfmad man with a cv,much like my father live in a spaciou apart in jersey citi with a view out to the statu of liberti,roth
175,176,but she had decid to give it up and move to the plaza becaus she had had a bad time with her health recent and becaus she want to be near the berkowitz,my father surpris me by say ye they re a wonder family he d given no indic till that moment that he knew isabel s berkowitz as well as the other woman s berkowitz,roth
177,178,but then mayb he wa onli tri to ingrati himself with a woman toward whom he seem drawn by an undisguis surprisingli headlong tug of feel,as we were walk down the corridor isabel berkowitz said to me so you re philip roth,roth
179,180,in fact so busi wa he present hi jewish joke repertoir he bare bother to look at the facil that isabel wa begin to show us,we walk through the dine hall which wa clean and simpl a larg room that look just like a school cafeteria we peer through an open door into the kitchen where the equip wa all shine and spotless and a heavyset black woman sat at a long tabl method cut wedg of lettuc for sever hundr dinner salad we cross over from the plaza to the y and look into room where meet were in progress and card game were go on and though i kept hope for him to begin to respond if onli with a littl curios to the life around him and for him to see in not necessarili now in the day to way out of hi loneli hi attent wa rivet on isabel for whom he wa now recount stori not entir unfamiliar to me about hi childhood in immigr newark,roth
181,182,a day camp wa in session at the y and when we went to look at the gym there were some thirti littl children sit in a circl on the gymnasium floor listen to their two counselor explain a new game,aren t our jewish children beauti isabel said but if she wa tri to get him to see what wa in front of hi eye it didn t even look where she point he continu describ newark in,roth
183,184,onli at the offic of the director of the y did the reminisc momentarili abat while he told the director and hi assist there that the director of the elizabeth y where he wa a morn regular sever time a week wa no damn good the elizabeth director never came into the health club to talk to the men he had no idea what wa go on with them and my father told them all bluntli he himself didn t get along with the man at all,i don t even bother with him,roth
185,186,i organ the roth raider my special littl group of alt kocker and we have a good time on our own,the hell with him you re the kind of person we need here the director repli but the veil invit elicit no respons,roth
187,188,in the corridor outsid the director s offic we ran into bleiberg the presid of the plaza social organ a man of about seventyf suffer from multipl sclerosi,isabel introduc us,roth
189,190,bleiberg,bleiberg,roth
191,192,i rememb you bleiberg my father told him,you were a jewel on green street bleiberg had inde been a jewel on newark s green street,roth
193,194,how do you like live here mr,bleiberg i ask,roth
195,196,i love it bleiberg said while my father said sure green street,i ll tell you who els wa on green street and did just that,roth
197,198,when we were back in the car later i suggest that we drive up the road to look at the shop center where there wa a bookstor and a bank and a coffe shop and where isabel had told us plaza resid sometim went for lunch,afterward i said we could drive over to see the new b nai abraham,roth
199,200,there s noth to see he said,but don t you want to take a look at the templ,roth
201,202,though that s a first impress,let it sink in a littl,roth
203,204,i ll bring the popcorn she d said with a charm smile,for that matter neither did i insid the apart i went around rais the shade to let the light in while he went to the bathroom,roth
205,206,when i wa grow up bill and hi late wife leah had live not far from our lesli street apart just across the newark line in irvington,in the earli along with their younger son herbi who wa my brother s age they d share a small summer cottag at the jersey shore with us and two other famili all of them friend of my parent go back to befor the war,roth
207,208,bill had instal and servic oil furnac and may have been the onli close famili friend who wa a skill labor as oppos to a salesman or a shopkeep and who came home from work filthi at the end of the day,as a young marin in world war i bill had been station at guantánamo in cuba where he d play the trumpet in the marin band and now in hi middl eighti a littl hard of hear but otherwis quit fit he maintain that he heard the tune that he use to play with the marin band be play insid hi teeth,roth
209,210,that s not possibl my father told him categor,herman i hear it bill said,roth
211,212,i m hear it now you can t be i am,it s like in my mouth a radio is playing i had flown from london to florida to visit my father and the three of us were sit in their littl kitchen eat the bologna sandwich that my father had prepar for lunch,roth
213,214,what do you hear exactli i ask bill,tonight,roth
215,216,the marin hymn he said,from the hall of montezuma he began sing,roth
217,218,you re imagin it my father insist,some year back as a result of surgeri he d lost the musculatur in hi midsect and develop a stomach but otherwis he wa for hi age a most fitlook man of medium height whose spontan unassum viril and spirit decenc had made him instantan appeal to the widow around,roth
219,220,he had been impress strong through the arm and the chest when he wa young and a littl of that solid wa still discern in hi upper torso particularli so with thi resurg of vital,though he could be bluntli outspoken and domin a convers with hi boil antirepublican diatrib he happen to be an agreeablelook person as well and the mundan forthright hi appear exud regist on all sort of peopl as real charm,roth
221,222,if he d had the leisur for it or the instinct or the need he might even have been handsom in an anonym sort of way but handsom wa no asset where he d fought hi battl and long ago he had settl upon look peopl trust rather than envi or prais,now of cours hi hair wa veri thin and had onli a touch of brown left in it and hi face though unlin had slacken along the jawlin into the pronounc famili dewlap and hi ear seem somehow to have been tug a bit like taffi and lengthen,roth
223,224,onli hi eye realli remain beauti and you never would have known that unless you happen to be nearbi when he slip off hi glass for a moment,then you would have seen how much gray there wa in those eye and that there wa even some green close you would have seen how gentl and untroubl those eye were as though they alon had exist sinc beyond the reverber of that crude imperfect homemad dynamo whose stubborn output had driven him through the obstacl cours just about everyth had been,roth
225,226,hi florida recoveri may have owe someth to hi have found in bill weber a fairli good standin for my goodnatur eventemp untroublesom partner whose fault and fail he could correct unceasingli,i caught him improv bill virtual the moment i arriv in bal harbour,roth
227,228,when i got off the elev on their floor there were my father and bill head down the hallway togeth some twenti feet in front of me,instead of call out to them i follow silent behind listen while my father berat bill for hi social shortcom,roth
229,230,ask her to a movi ask her out to t just sit home night after night i don t want to take her out herman,i don t want to take anybodi out you re antisocial if that s what you call it okay i am you live like a hermit okay not okay,roth
231,232,you ve got to mix more with peopl,there are women around here who are die for companionship,roth
233,234,i m not talk about women with hangup,not all of them want to possess you,roth
235,236,not all of them want to sink their teeth into you i don t want a woman,there s noth i can do for a woman,roth
237,238,i m eightysix year old herman c mon for christ s sake i m not talk about that,i m talk about eat a pleasant meal with somebodi social with peopl like a human being you re good at it i m not,roth
239,240,i ll stay home i don t understand you bill,the elderli russianborn violinist the ensembl leader wa said to be viennatrain by the peopl my father had introduc me to at the pool that afternoon,roth
241,242,they had told me that if i like music i should be sure to come the concert wa to take place follow the weekli meet of the galahad hall social club and would be attend by nearli all those in galahad hall who were ambulatori and even as i would see by some in wheelchair and on walker who were accompani by their nurs,there wa entertain or a slide show or a lectur everi week refresh were serv and i wa assur that i would have a good time,roth
243,244,after our dinner of hot dog and by my father while bill neatli set three place at the father told bill to put on a jacket and a pair of shoe and come along with us to the musicale all bill want wa to stay upstair and watch the pro basketbal game on televis but as my father wouldn t let up about bill s failur to mix with peopl hi failur to make friend hi failur to go out in the even and have a good time bill gave in and agre that he would come after the music for the refresh,but after wasn t good enough and ten minut later when my father still wouldn t leav him alon bill pull a jacket out of the closet and put on a pair of shoe and we took the elev to the social hall in back of the lobbi where the meet wa alreadi under way,roth
245,246,as the three of us came through the door the chairwoman of the matzoh fund which collect donat for passov provis for the jewish poor in south miami beach wa announc the grand total rais dure the matzoh fund drive,the chairwoman look down at her note while she spoke caus sever peopl around the room to shout can t hear you,roth
247,248,we can t hear you bell when she look up a littl puzzl by the rucku a man at the end of the back row who must have been her husband put a hand to the side of hi mouth and call to her pretend you re talk to me everyon laugh bell loudest of all and then in a good strong voic she announc that the fund had reach it goal of two thousand dollar or the equival of about ten dollar from each person in the build and the audienc applaud,i notic two row in front of us the peopl i d met at the pool with my father that retir bath suit manufactur and hi wife the retir coffe and tea import and hi wife and the recent widow woman who year ago had been a new york buyer and wa my father s choic as a mate for bill weber,roth
249,250,all of them turn and wave hello as we slid into seat behind them,our three seat in the last of the fifteen or so row were virtual the onli one left in the hous,roth
251,252,four music stand and four bridg chair had been arrang in a littl semicircl at the front and off to the far side near the door wa a long tabl set up for coffe,the refresh were alreadi there the plate stack high with cooki and slice of cake cover with saran wrap,roth
253,254,when the matzoh fund report wa conclud the club s presid congratul the chairwoman on the success of the drive,he wa a dapper suntan man of about passion golfer i d been told that after hi retir as a success leather good and luggag manufactur had taken a desk at merril lynch and made a second fortun manag hi own money,roth
255,256,he said ladi and gentlemen,befor the music begin i want to tell you that a few moment ago a young man walk in and i d like to introduc him to you,roth
257,258,but the presid said mr,i interrupt him oh you don t have to ask me question,roth
259,260,i just came down to enjoy the music,let the music begin and i got anoth round of applaus and sat down again,roth
261,262,bill wasn t hold my hand becaus he thought i wa still seven but becaus he had known me sinc i wa seven and he had a right to hold my hand howev old i d becom in the interim,over the next thirti minut or so i came to i never entir had when the perform wa perlman or yoyo how much muscular labor goe into play a string instrument,roth
263,264,in the middl of onli the first movement i wonder if it wa realli a good idea for the viola player to go on,he wa probabl close to eighti a larg heavyset man with a stern expressionless face and as the music heat up that face grew paler and paler and i could see him begin to pant,roth
265,266,the perform wa as alarm as it wa heroic as though these four age peopl were tri to push free a car that wa mire in the mud and though the music didn t alway sound like a haydn string quartet at the end of the first movement everyon applaud enthusiast and some of the friend of the musician shout bravo,bravo and half the audienc got up and began to make their way toward the refresh tabl,roth
267,268,no no the club presid call out jump from the front row and turn to face the crowd,pleas there s more the musician have mop their face and turn to a fresh page of the score wait patient until everyon wa seat and quiet again,roth
269,270,they weren t too mani bar into the second movement howev befor the purs began click open and shut and coupl began quietli gab togeth,directli in front of me a nice dress old woman who had a cane at her feet and a neatli stack pile of bill on her lap wa discreetli write out check and then clip each check to the appropri bill and put it in an envelop,roth
271,272,she had even brought along a roll of stamp,it wa better than pay her bill upstair alon,roth
273,274,a littl victor herbert he whisper a littl clarinet an obo a french horn,there had been someth sort of goodnatur and selfdisciplin about the way they d gone back to their chair and sat there that remind me of peopl sit through the prayer in the synagogu when i wa a after the read of the torah the thing still went on and on and peopl had no idea what anyon wa read but they sat there nice out of respect,roth
275,276,of cours there were alway a few in the synagogu who sat there on and on becaus they couldn t get enough of it but that didn t look to have been the case at the musical in galahad hall,the club presid wa go from one musician to the other shake each player s violist could bare lift hi head by then let alon a hand and i continu to wonder if someth medic ought not to be done for then the presid turn to the audienc and wave both arm high in the air bid us to clap even louder,roth
277,278,that s it ladi and gentlemen,everi artist i don t care who he is need to know if you like him or not,roth
279,280,bravo the applaus had turn into a rhythmic pound with wild overton of a kind you couldn t have imagin eman from thi temper crowd but their relief at be sprung wa that great,the applaus wa loudest from those who had bound out of their seat and were alreadi line up two deep in front of the refresh tabl,roth
281,282,ladi and gentlemen,good news,roth
283,284,i thought plate would go sail through the air from the direct of the refresh tabl,i thought somebodi might just walk up and put a foot through the cello,roth
285,286,but no these were decent peopl who had live a long time who had known and endur their share of grief befor jewish peopl who had been born back when cultiv still had even for untutor jew it religi clout and so their defer to anyon who pick up a bow and a oppos to a bow and an simpli insurmount,agon as the prospect wa they kept their miseri to themselv and return yet again to their seat mani bear coffe cup and cake plate which they balanc on their knee or place at their feet while the first violinist s wife a petit whitehair woman who had been sit in the first row step energet out of the audienc and sat down at a piano that wa off to the side of the quartet,roth
287,288,as the violist the cellist and the second violinist look on in exhaust the first violinist a man of the most remark stamina for hi year join hi wife in a duet by fritz kreisler,it wa aw,roth
289,290,jack benni play better,again,roth
291,292,to sit with your ice cream and the televis,estel is here he said point to where the exbuy could be seen talk animatedli to the first violinist s wife who wa at the piano still play someth that nobodi wa listen to,roth
293,294,the audienc didn t dare to listen,they hadn t even applaud the encor for fear that it would unleash yet anoth one,roth
295,296,talk to estel will you my father beg bill,what am i go to do with that guy my father ask me as we push into the throng at the refresh tabl,roth
297,298,whi not noth i suggest airili,so he can sit there everi night by himself,roth
299,300,in just my first few day there he took me for drink at the home of three wealthi jewish widow rang in age from sixtyf to seventyf all of them quit polish and attract and accord to my father eager to press on with their relationship,walk to their condominium he would tell me about the busi their husband had establish how mani children they had and what busi the children had succeed in the state of their health the tragedi in their live how much their apart were worth and then on the way back home he would ask well what did you think each time i answer altogeth truth she seem veri nice,roth
301,302,i like her he d then repli she want me to go on a cruis with her next fall or you know what she tell me,her apart is twice what she need,roth
303,304,she rattl around there all by and i would ask,and noth,roth
305,306,me i just listen i don t say nothin,phil it s too soon,roth
