length,sentence
148,it did not matter to them quentin and shreve anyway who could without move as free now of flesh of the father who decre and forbad the son who deni and repudi the lover who acquiesc the belov who wa not bereav and with no tediou transit from hearth and garden to saddl who could be alreadi clatter over the frozen rut of that decemb night and that christma dawn that day of peac and cheer of holli and goodwil and log on the hearth not two of them there and then either but four of them ride the two hors through the iron dark and that not matter either what face and what name they call themselv and were call by so long as the blood blood the immort brief recent intransi blood which could hold honor abov slothi unregret and love abov fat and easi shame
146,that would have been a part of the clean up just as he would have done hi share toward clean up the explod cap and musket cartridg after the sieg if he had nt been sick or mayb engag he would have insist on it mayb the conscienc again which could not allow her and the child ani place in the design even though he could have close hi eye and if not fool the rest of the world as they had fool him at least have frighten ani man out of speak the secret same conscienc which would not permit the child sinc it wa a boy to bear either hi name or that of it matern grandfath yet which would also forbid him to do the customari and provid a quick husband for the discard woman and so give hi son an authent name
146,we walk through the dine hall which wa clean and simpl a larg room that look just like a school cafeteria we peer through an open door into the kitchen where the equip wa all shine and spotless and a heavyset black woman sat at a long tabl method cut wedg of lettuc for sever hundr dinner salad we cross over from the plaza to the y and look into room where meet were in progress and card game were go on and though i kept hope for him to begin to respond if onli with a littl curios to the life around him and for him to see in not necessarili now in the day to way out of hi loneli hi attent wa rivet on isabel for whom he wa now recount stori not entir unfamiliar to me about hi childhood in immigr newark
145,that wa what she saw what the other saw from the halt carriag across the bride shrink into the shelter of hi arm as he drew her behind him and he stand there not move even after anoth object they threw noth which could actual injur it wa onli clod of dirt and veget refus struck the hat from hi head and a third struck him full in the there motionless with an express almost of smile where hi teeth show through the beard hold hi wild negro with that one word there were doubtless pistol in the crowd certainli knive the negro would not have live ten second if he had sprung while about the wed parti the circl of face with open mouth and torchreflect eye seem to advanc and waver and shift and vanish in the smoki glare of the burn pine
145,i can imagin henri in new orlean who had not yet even been in memphi whose entir worldli experi consist of sojourn at other hous plantat almost interchang with hi own where he follow the same routin which he did at same hunt and cockfight the same amateur race of hors on crude homemad track hors sound enough in blood and lineag yet not bred to race and perhap not even thirti minut out of the shaft of a trap or perhap even a carriag the same squar danc with ident and also interchang provinci virgin to music exactli like that at home the same champagn the best doubtless yet crude dispens out of the burlesqu pantomim eleg of negro butler who and likewis the drinker who gulp it down like neat whiskey between floweri and unsubtl toast would have treat lemonad the same way
145,a hundr year of care nurtur perhap not by blood not even coldfield blood but certainli by the tradit in which thoma sutpen s ruthless will had carv a nich to pass through the soft insul and unscath cocoon stage bud serv prolif queen then potent and softhand matriarch of old age s seren and wellliv handicap by what in me wa a few year ignor but which in her wa ten gener of iron prohibit who had not learn that first principl of penuri which is to scrimp and save for the sake of scrimp and save who and abet by clyti would cook twice what we could eat and three time what we could afford and give it to anyon ani stranger in a land alreadi begin to fill with straggl soldier who stop and ask for it and but not least clyti
145,sure that s who it would be the lawyer that lawyer with hi privat mad femal millionair to farm who probabl wa nt interest enough in the money to see whether the check had ani other write on them when she sign lawyer who with bon s mother alreadi plot and plan him sinc befor he could rememb for that day when he should be translat quick into so much rich and rot dirt had alreadi been plow and plant and harvest him and the mother both as if he alreadi wa that lawyer who mayb had the secret drawer in the secret safe and the secret paper in it mayb a chart with color pin stuck into it like gener have in campaign and all the notat in code today sutpen finish rob a drunken indian of a hundr mile of virgin land val
144,so that sunday morn came and the demon up and away befor dawn judith think she knew whi sinc that morn the black stallion which he rode to virginia and led back had a son born on hi wife penelop onli it wa not that foal which the demon had got up earli to look at and it wa almost a week befor they caught found the old negress the midwif who wa squat besid the quilt pallet that dawn while jone sat on the porch where the rusti scyth had lean for two year so that she could tell how she heard the hors and then the demon enter and stood over the pallet with the ride whip in hi hand and look down at the mother and the child and said well milli too bad you re not a mare like penelop
144,and as for a littl matter like a spot of negro not need to talk much say much either not need to say i seem to have been born into thi world with so few father that i have too mani brother to outrag and shame while aliv and henc too mani descend to bequeath my littl portion of hurt and harm to dead not that just a littl spot of negro and then to watch the face the desper urgenc and fear then to depart kiss her mayb her hand mayb which would lie in hi and even touch hi lip like a dead hand becaus of the desper cast for thi straw or that mayb as he went out he said she will go to him the lawyer if i were to wait five minut i could see her in the shawl
143,they watch in shock amaz while he laid deliber sieg to the one man in the town with whom he could have had noth in common least of all man who obvious could do noth under the sun for him save give him credit at a littl crossroad store or cast a vote in hi favor if he should ever seek ordin as a methodist methodist steward a merchant not onli of modest posit and circumst but who alreadi had a wife and famili of hi own let alon a depend mother and sister to support out of the proce of a busi which he had brought to jefferson ten year ago in a singl man with a name for absolut and undevi and even puritan upright in a countri and time of lawless opportun who neither drank nor gambl nor even hunt
143,becaus the men who had compos the mob the trader and drover and teamster return vanish back into the region from which they had emerg for thi one occas like rat scatter part about the countri face which even ellen wa not to rememb seen for the night or the meal or just the drink at other tavern twenti and fifti and a hundr mile further on along nameless road and then gone from there too and those who had come in the carriag and buggi to see a roman holiday drive out to sutpen s hundr to call and the men to hunt hi game and eat hi food again and on occas gather at night in hi stabl while he match two of hi wild negro against one anoth as men match game cock or perhap even enter the ring himself
143,so it must have been henri who seduc judith not bon seduc her along with himself from that distanc between oxford and sutpen s hundr between herself and the man whom she had not even seen yet as though by mean of that telepathi with which as children they seem at time to anticip one anoth action as two bird leav a limb at the same instant that rapport not like the convent delus of that between twin but rather such as might exist between two peopl who regardless of sex or age or heritag of race or tongu had been maroon at birth on a desert island the island here sutpen s hundr the solitud the shadow of that father with whom not onli the town but their mother s famili as well had mere assum armistic rather than accept and assimil
143,they face one anoth on the two gaunt hors two men young not yet in the world not yet breath over long enough to be old but with old eye with unkempt hair and face gaunt and weather as if cast by some spartan and even niggard hand from bronz in worn and patch gray weather now to the color of dead leav the one with the tarnish braid of an offic the other plain of cuff the pistol lie yet across the saddl bow unaim the two face calm the voic not even rais dont you pass the shadow of thi post thi branch charl and i am go to pass it henri then wash jone sit that saddleless mule befor miss rosa s gate shout her name into the sunni and peac quiet of the street say air you rosi coldfield
143,ye burst who had not wept yet who had brought down the stair that afternoon and worn ever sinc that cold calm face which had stop me in midrun at that close door ye burst as if that entir accumul of seven month were erupt spontan from everi pore in one incred evacu she not move not move a muscl and then vanish disappear as instantan as if the veri fierc and arid aura which he had enclos her in were dri the tear faster than they emerg and still stand with hi hand on her shoulder and look at clyti and said ah clyti and then at same face which he d last seen onli a littl thinner the same ruthless eye the hair grizzl a littl now and no recognit in the face at all until judith said it s rosa
143,it wa just there natur in a boy a child and he not pay ani attent to it either becaus it wa what a boy would have thought and he knew that to do what he had to do in order to live with himself he would have to think it out straight as a man would think the nigger never give me a chanc to tell him what it wa and so he not the nigger now either wont know it and whatev it is wont get done and he wont know it aint done until too late so he will get paid back that much for what he set that nigger to do and if it onli wa to tell him that the stabl the hous wa on fire and the nigger would nt even let me tell him warn him
143,he did nt tell that either that of no moment to the stori either he just put the musket down and had someon unbar the door and then bar it behind him and walk out into the dark and subdu them mayb by yell louder mayb by stand bear more than they believ ani bone and flesh could or should should ye that would be the terribl thing to find flesh to stand more than flesh should be ask to stand mayb at last they themselv turn in horror and flee from the white arm and leg shape like their and from which blood could be made to spurt and flow as it could from their and contain an indomit spirit which should have come from the same primari fire which their came from but which could not have could not possibl have
143,and jesu think of him bon who had want to know who had had the most reason to want to know who as far as he knew had never had ani father but had been creat somehow between that woman who would nt let him play with other children and that lawyer who even told the woman whether or not each time she bought a piec of meat or a loaf of peopl neither of whom had taken pleasur or found passion in get him or suffer pain and travail in horn perhap if one of the two had onli told him the truth none of what happen would ever have come to pass while there wa henri who had father and secur and content and all yet wa told the truth by both of them while he bon wa told by neither
142,i had never even heard hi voic had onli ellen s word for it that there wa such a person and quick not for the spi which you will doubtless call it which dure the past six month between that new year s and that june gave substanc to that shadow with a name emerg from ellen s vain and garrul folli that shape without even a face yet becaus i had not even seen the photograph then reflect in the secret and bemus gaze of a young girl becaus i who had learn noth of love not even parent fond dear constant violat of privaci that stultif of the burgeon and incorrig i which is the need and due of all mammalian meat becam not mistress not belov but more than even love i becam all polymath love s androgyn advoc
142,and the day came to depart and no sign yet he and henri rode away and still no sign no more sign at part than when he had seen it first in that face where he might he would believ have seen for himself the truth and so would have need no sign if it had nt been for the beard no sign in the eye which could see hi face becaus there wa no beard to hide it could have seen the truth if it were there yet no flicker in them and so he knew it wa in hi face becaus he knew that the other had seen it there just exactli as henri wa to know the next christma eve in the librari that hi father wa not lie by the fact that the father said noth did noth
142,it would be no question of choos have to choos between the champagn or whiskey and the sherbet but all of a sudden it would be spring then in that countri where he had never spent a spring befor and you said north mississippi is a littl harder countri than louisiana with dogwood and violet and the earli scentless flower but the earth and the night still a littl cold and the hard tight sticki bud like young girl nippl on alder and juda tree and beech and mapl and even someth in the cedar like he never saw befor you find that you do nt want anyth but that sherbet and that you have nt been want anyth els but that and you have been want that pretti hard for some know that that sherbet is there for you to take
140,ellen wa dead two year now the butterfli the moth caught in a gale and blown against a wall and cling there beat feebli not with ani particular stubborn cling to life not in particular pain sinc it wa too light to have struck hard nor even with veri much remembr of the bright vacuum befor the gale but just in bewild and uncomprehend amaz the bright trivial shell not even chang to ani great extent despit the year of bad food sinc all of sutpen s negro had desert also to follow the yanke troop away the wild blood which he had brought into the countri and tri to mix blend with the tame which wa alreadi there with the same care and for the same purpos which he blend that of the stallion and that of hi own
140,though he must have been young onc sure he wa young onc and sure someon who ha exist as long as he ha who ha look at as much crude and promiscu sin without grace or restraint or decorum as he ha had to to contempl at last even though the instanc are not one in a thousand thousand the principl of honor decorum and gentl appli to perfectli normal human instinct which you anglosaxon insist upon call lust and in whose servic you revert in sabbat to the primordi cavern the fall from what you call grace fog and cloud by heavendefi word of extenu and explan the return to grace herald by heavenplac cri of satiat abas and flagel in neither of defianc or the heaven find interest or even after the first two or three time divers
140,then it wa and sutpen knew what they would do now not onli what henri would do but what he would forc bon to do mayb be a it would not requir a demon to forese war now he even foresaw that henri and bon would join that student compani at the univers he may have had some way of watch know the day their name appear on the roster some way of know where the compani wa even befor grandfath becam colonel of the regiment the compani wa in until he got hurt at pittsburgh land where bon wa wound and came home to get use to not have ani right arm and sutpen came home in with the two tombston and talk to grandfath in the offic that day befor both of them went back to the war
140,it occur to me that if we were all to sit and talk togeth in benjamin s offic for anoth day or two my father would eventu overcom hi fear of call down even wors miseri upon himself by appear sin greedi and proclaim to thi doctor what had to be in hi heart which wa that he want not just three or four year more but to tackl the whole damn thing all over again i rais myself up out of the immigr street without even a high school educ i never knuckl under never broke the law never lost my courag or said i quit i wa a faith husband a loyal american a proud jew i gave two wonder boy everi opportun i myself never had and what i am demand is onli what i eightysix year
139,even then he had that same alert which he had to wear later day and night without chang or lay asid like the cloth which he had to sleep in as well as live in and in a countri and among a peopl whose veri languag he had to learn that unsleep care which must have known that it could permit itself but one mistak that alert for measur and weigh event against eventu circumst against human natur hi own fallibl judgement and mortal clay against not onli human but natur forc choos and discard compromis with hi dream and hi ambit like you must with the hors which you take across countri over timber which you control onli through your abil to keep the anim from realiz that actual you can not that actual it is the stronger
139,and so mayb if you could go to someon the stranger the better and give them scrap of anyth it not to mean anyth in itself and them not even to read it or keep it not even bother to throw it away or destroy it at least it would be someth just becaus it would have happen be rememb even if onli from pass from one hand to anoth one mind to anoth and it would be at least a scratch someth someth that might make a mark on someth that wa onc for the reason that it can die someday while the block of stone cant be is becaus it never can becom wa becaus it cant ever die or perish and your grandmoth watch her the impenetr the calm the absolut seren face and cri no
139,but on sunday even and with the echo of the phantom hoov still crash soundlessli in the duskfil studi he watch quietli the puni unhors figur move with that precari and meretrici clever of anim balanc on their hinder leg that clever of which the man anim is so fatuous proud and which constantli betray him by mean of natur law like graviti and ice and by the veri extran object which he ha himself invent like motor car and furnitur in the dark and the veri refus of hi own eat left upon floor or pavement and he think quietli how right the ancient were in make the hors an attribut and symbol of warrior and king when he see the man in the street pass the low sign and turn into hi gate and approach the hous
138,they would be seen togeth in the carriag in town now and then as though noth had occur between them at least which certainli would not have been the case if the quarrel had been between bon and the father and probabl not the case if the troubl had been between henri and hi father becaus the town knew that between henri and judith there had been a relationship closer than the tradit loyalti of brother and sister even a curiou relationship someth of that fierc imperson rivalri between two cadet in a crack regiment who eat from the same dish and sleep under the same blanket and chanc the same destruct and who would risk death for one anoth not for the other s sake but for the sake of the unbroken front of the regiment itself
138,he just sat as befor hi hand in hi trouser pocket hi shoulder hug inward and hunch hi face lower and he look somehow curious smaller than he actual wa becaus of hi actual height and qualiti of delicaci about the bone articul which even at twenti still had someth about it some last echo about it of is as compar with the cherub burli of the other who face him who look younger whose veri superior in bulk and displac made him look even younger as a plump boy of twelv who outweigh the other by twenti or thirti pound still look younger than the boy of fourteen who had that plump onc and lost it sold it whether with hi consent or not for that state of virgin which is neither boy s nor girl s
137,rot portico and scale wall it stood not ravag not invad mark by no bullet nor soldier s iron heel but rather as though reserv for someth more some desol more profound than ruin as if it had stood in iron juxtaposit to iron flame to a holocaust which had found itself less fierc and less implac not hurl but rather fallen back befor the impervi and indomit skeleton which the flame durst not at the instant s final crisi assail there wa even one step one plank rot free and tilt beneath the foot or would have if i had not touch it light and fast as i ran up and into the hallway whose carpet had long sinc gone with the tablelinen for lint and saw the sutpen face and even as i cri henri
137,he did not make one of these i rememb how one night a deput call rode out through the mud of earli march and put him to the point of definit ye or no with them or against them friend or enemi and he refus declin offer them with no chang of gaunt ruthless face nor level voic defianc if it wa defianc they want tell them that if everi man in the south would do as he himself wa do would see to the restor of hi own land the gener land and south would save itself and usher them from the room and from the hous and stood plain in the doorway hold the lamp abov hi head while their spokesman deliv hi ultimatum there be war sutpen and answer i am use to it
137,you had been here befor seen these grave more than onc in the rambl expedit of boyhood whose aim wa more than the mere hunt of game just as you had seen the old hous too been familiar with how it would look befor you even saw it becam larg enough to go out there one day with four or five other boy of your size and age and dare one anoth to evok the ghost sinc it would have to be haunt could not but be haunt although it had stood there empti and unthreaten for twentysix year and nobodi to meet or report ani ghost until the wagon full of stranger move from arkansa tri to stop and spend the night in it and someth happen befor they could begin to unload the wagon even
137,he wa just there surround by the face almost all the face which he had ever known though the number of them wa decreas thin out despit the effort of the unmarri sister who pretti soon so he told grandfath and still without ani wed had anoth babi decreas becaus of the climat the warmth the damp live in a cabin that wa almost a replica of the mountain one except that it did nt sit up in the bright wind but sat instead besid a big flat river that sometim show no current at all and even sometim ran backward where hi sister and brother seem to take sick after supper and die befor the next meal where regiment of nigger with white men watch them plant and rais thing that he had never heard of
137,he would be too young to curri ani connect fact out of the furi and hate and the tumbl speed not comprehend or care just curiou creat for himself without help sinc who to help him hi own notion of that porto rico or haiti or wherev it wa he understood vagu that he had come from like orthodox children do of heaven or the cabbag patch or wherev it wa that they came from except that hi wa differ in that you were not suppos your mother did nt intend to anyway to ever go back there and mayb when you got as old as she wa you would be horrifi too everi time you found hidden in your thought anyth that just smell or tast like it might be a wish to go back there
137,and how sometim she would not even come to the church where her own husband wa preach even on sunday and they would look at him and wonder if he even knew that she wa not there if he had not even forgot that he ever had a wife up there in the pulpit with hi hand fli around him and the dogma he wa suppos to preach all full of gallop cavalri and defeat and glori just as when he tri to tell them on the street about the gallop hors it in turn would get all mix up with absolut and choir of martial seraphim until it wa natur that the old men and women should believ that what he preach in god s own hous on god s own day verg on actual sacrileg
136,when i look back at my mule it wa like he wa one of these here spyglass and i could look at him stand there and see all the broad land and my hous sweat outen it like wa the more the sweati the broader the land the more the sweat the tighter the hous becaus it would take a tight hous for cora to hold cora like a jar of milk in the spring you ve got to have a tight jar oaf you ll need a power spring so if you have a big spring whi die you have the incent to have tight wellmad jar becaus it is your milk soar or not becaus you would lather have milk that will sour than to have milk that wont becaus you are a man
136,and now next time he wa not sent for he learn it as the town learn it by that countri grapevin whose sourc is among negro and he charl etienn saintvaleri bon alreadi return not home again return befor your grandfath learn how he had come back appear with a coal black and apelik woman and an authent wed licens brought back by the woman sinc he had been so sever beaten and maul recent that he could not even hold himself on the spavin and saddleless mule on which he rode while hi wife walk besid it to keep him from fall off rode up to the hous and appar flung the wed licens in judith s face with someth of that invinc despair with which he had attack the negro in the dice game
136,veri shortli roy began to hear himself on saturday night say thing like they sure gave you the rush act today joe or how s bart s ankl or how bad s the rib go to be on the guardello kid some night now it wa elli who had to do the wait while the three men finish up discuss whether dorsey ought to have convert sigerson from a tackl in the first place or whether bobbi rackstraw wa go to be too slight for colleg ball bullet arm or no bullet arm or whether wild bill ought to go to michigan which had the big name or to kansa state where at least he could be sure he wa go to be with a coach who like to move the old ball in the air
135,becaus you will see the letter not the first one he ever wrote to her but at least the first the onli one she ever show as your grandmoth knew then and so we believ now that she is dead the onli one which she kept unless of cours miss rosa or clyti destroy the other after she herself die and thi one here preserv not becaus judith put it away to keep but becaus she brought it herself and gave it to your grandmoth after bon s death possibl on the same day when she destroy the other which he had written her provid of cours it wa she herself who destroy them which would have been when she found in bon s coat the pictur of the octoroon mistress and the littl boy
135,and bon ride besid him tri to find out what sutpen had told who for a year and a half now had been watch henri ape hi cloth and speech who for a year and a half now had seen himself as the object of that complet and abneg devot which onli a youth never a woman give to anoth youth or a man who for exactli a year now had seen the sister succumb to that same spell which the brother had alreadi succumb to and thi with no volit on the seduc s part without so much as the lift of a finger as though it actual were the brother who had put the spell on the sister seduc her to hi own vicari imag which walk and breath with bon s bodi
135,when she came to town now in the madeov dress which all southern women now wore in the carriag still but drawn now by a mule a plow mule soon the plow mule and no coachman to drive it either to put the mule in the har and take it out to join the other were wound in jefferson the improvis hospit where the nurtur virgin the suprem and tradit idl they clean and dress the selffoul bodi of strang injur and dead and made lint of the window curtain and sheet and linen of the hous in which they had been born there were none to ask her about brother and sweetheart while they talk among themselv of son and brother and husband with tear and grief perhap but at least with certainti knowledg
135,it wa like that he said like an bright glare that vanish and left noth no ash nor refus just a limitless flat plain with the sever shape of hi intact innoc rise from it like a monument that innoc instruct him as calm as the other had ever spoken use hi own rifl analog to do it with and when it said them in place of he or him it meant more than all the human puni mortal under the sun that might lie in hammock all afternoon with their shoe off he thought if you were fix to combat them that had the fine rifl the first thing you would do would be to get yourself the nearest thing to a fine rifl you could borrow or steal or make would nt it
135,and he stand there with the rein over hi arm with perhap someth like smile insid hi beard and about the eye which wa not smile but the crinkl concentr of furiou hast the need for it the urgenc but not fear not concern just the fact that he had miss that time though luckili it wa just a spot shot with a light charg and the old gun the old barrel and carriag none the wors onli next time there might not be enough powder for both a spot shot and then a fullsiz fact that the thread of shrewd and courag and will ran onto the same spool which the thread of hi remain day ran onto and that spool almost near enough for him to reach out hi hand and touch it
135,but i do i have it is irrevoc now if you discern aught in thi letter which smack of humil take it as come not from the mother and certainli not from the son but from the pen of one whose humbl posit as legal advis and man of busi to the abov describ ladi and young gentleman whose loyalti and gratitud toward one whose generos ha found him i do not confess thi i proclaim it in bread and meat and fire and shelter over a period long enough to have taught him gratitud and loyalti even if he had not known them ha led him into an action whose mean fall behind it intent for the reason that he is onli what he is and profess himself to be not what he would
135,but he had learn to read in spanish from the priest in california and as soon as the child could walk burden he pronounc it burden now sinc he could not spell it at all and the priest had taught him to write it labori so with a hand more apt for a rope or a gunbutt or a knife than a pen began to read to the child in spanish from the book which he had brought with him from california interspers the fine sonor flow of mystic in a foreign tongu with harsh extemporis dissert compos half of the bleak and bloodless logic which he rememb from hi father on intermin new england sunday and half of immedi hellfir and tangibl brimston of which ani countri methodist circuit rider would have been proud
134,he might not have gone out of hi way to keep sutpen in jail but doubtless the best possibl moral fumig which sutpen could have receiv at the time in the eye of hi fellow citizen wa the fact that mr coldfield sign hi bond someth he would not have done to save hi own good name even though the arrest had been a direct result of the busi between himself and sutpen that affair which when it reach a point where hi conscienc refus to sanction it he had withdrawn from and let sutpen take all the profit refus even to allow sutpen to reimburs him for the loss which in withdraw he had suffer though he did permit hi daughter to marri thi man of whose action hi conscienc did not approv
134,not a tether just a light block of some sort so he cant get insid of anyth that might have a fenc around it and onli him to tri to check it or as much as he dare and not get far becaus he knew too that all bon had to do wa to go to hi mother and the race hors would have a gold eatingtrough if he want it and if the jock wa nt care a new jockey too count up the money figur what he would net at thi normal rate over the next few year and meanwhil crucifi between hi two problem whether mayb what he ought to do wa to wash hi hand of the sutpen angl and clean up what wa left and light out for texa
134,it wa shreve speak though save for the slight differ which the interven degre of latitud had inculc in them differ not in tone or pitch but of turn of phrase and usag of word it might have been either of them and wa in a sens both both think as one the voic which happen to be speak the thought onli the think becom audibl vocal the two of them creat between them out of the ragtag and bobend of old tale and talk peopl who perhap had never exist at all anywher who shadow were shadow not of flesh and blood which had live and die but shadow in turn of what were to one of them at least to shreve shade too quiet as the visibl murmur of their vapor breath
134,old sabin who could nt to save her life have told you or the lawyer or bon or anybodi els probabl what she want expect hope for becaus she wa a woman and did nt need to want or hope or expect anyth but just to want and expect and hope and besid your father said that when you have plenti of good strong hate you do nt need hope becaus the hate will be enough to nourish you the old sabin not so old yet but she would have just let herself go in the sens that you keep the engin clean and oil and the best of coal in the bunker but you do nt bother to shine the brightwork or holyston the deck anymor just let herself go on the outsid
134,and then the paper could be still again becaus he would be talk about a small colleg onli ten year old about how there would nt be anyth to distract him from hi studi there where in a sens wisdom herself would be a virgin or at least not veri secondhand and how he would have a chanc to observ anoth and a provinci section of the countri in which hi high destini wa root grant the outcom of thi war which wa without doubt immin the success conclus of which we all hope for had no doubt of as the man he would be and the econom power he would repres when hi mother pass on and he listen behind that express say then you do nt recommend the law as a vocat
133,so that he must have appear not onli to henri but to the entir undergradu bodi of that small new provinci colleg as a sourc not of envi becaus you onli envi whom you believ to be but for accid in no way superior to yourself and what you believ grant a littl better luck than you have had heretofor you will someday possess not of envi but of despair that sharp shock terribl hopeless despair of the young which sometim take the form of insult toward and even physic assault upon the human subject of it or in extrem case like henri s insult toward and assault upon ani and all detractor of the subject as wit henri s violent repudi of hi father and hi birthright when sutpen forbad the marriag
133,but he ha money he will and stop with that forlorn littl boy invis between them who had come there eight year ago with the overal jumper over what remain of hi silk and broadcloth who had becom the youth in the tatter hat and the hi ancient curs who had becom the young man with a young man s potenc yet wa still that lone child in hi parchmentanddenim hairshirt and your grandfath speak the lame vain word the speciou and empti fallaci which we call comfort think better that he were dead better that he had never live then think what vain and empti recapitul that would be to her if he were to say it who doubtless had alreadi said it thought it chang onli the person and the number
133,all the time he wa speak he wa sit on the log grandfath said tell it make the gestur to tell it with the man grandfath himself had seen fight nake chest to chest with one of hi wild nigger by the light of the camp fire while hi hous wa build and who still fought with them by lantern light in the stabl after he had got at last that wife who would be adjunct to the forward of that design he had in mind and no bone made about the fight either no handshak and gratul while he wash the blood off and don hi shirt becaus at the end of it the nigger would be flat on hi back with hi chest heav and anoth nigger throw water on him
132,she heard of that too while she wa spend her day and night she would have to wait until her father wa asleep sew tedious and without skill on the garment which she wa make for her niec s trousseau and which she had to keep hidden not onli from her father but from the two negress who might have told mr lace out of ravel and hoard string and thread and sew it onto garment while news came of lincoln s elect and of the fall of sumpter and she scarc listen hear and lose the knell and doom of her nativ land between two tediou and clumsi stitch on a garment which she would never wear and never remov for a man whom she wa not even to see aliv
